Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:19.998,00:06:19.998,1,0,35,0:06:19  ,0:06:19  ,0:05:44  ,171.40625,183.0,90.60000000000001,133.0,149.0,--,79
2,00:06:15.856,00:06:15.856,1,0,8,0:06:15  ,0:06:15  ,0:06:00  ,174.515625,178.0,92.12000122070313,145.0,153.0,--,85
3,00:06:08.823,00:06:08.823,1,0,1,0:06:08  ,0:06:08  ,0:05:59  ,174.46875,177.0,93.55999755859375,147.0,152.0,--,84
4,00:06:08.570,00:06:08.570,1,7,1,0:06:08  ,0:06:08  ,0:05:50  ,173.171875,175.0,94.07999877929689,152.0,160.0,--,86
5,00:06:06.231,00:06:06.000,1,1,10,0:06:06  ,0:06:06  ,0:05:54  ,172.640625,174.0,94.92999877929688,145.0,157.0,--,81
6,00:06:11.838,00:06:11.838,1,0,1,0:06:11  ,0:06:11  ,0:06:03  ,172.75,175.0,93.52999877929688,147.0,152.0,--,83
7,00:06:24.267,00:06:21.000,1,25,0,0:06:24  ,0:06:21  ,0:05:47  ,172.28125,177.0,90.72999877929688,151.0,167.0,--,86
8,00:01:24.417,00:01:24.417,0.22,12,0,0:06:28  ,0:06:28  ,0:06:02  ,173.53125,176.0,92.12999877929688,165.0,167.0,--,22
9,00:00:01.171,00:00:01.000,0.01,0,0,0:03:48  ,0:03:14  ,0:06:24  ,173.0,173.0,87.5,164.0,164.0,--,0
Summary,00:45:01.171,00:44:57.502,7.22,45,56,0:06:13  ,0:06:13  ,0:05:44  ,173.046875,183.0,92.75,146.0,167.0,--,606
