Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:04.858,00:06:04.858,1,--,31,0:06:04  ,0:06:04  ,0:05:15  ,160.9375,167.0,102.18099431404144,138.0,154.0,--,79
2,00:05:41.497,00:05:41.000,1,--,8,0:05:41  ,0:05:41  ,0:05:18  ,164.265625,169.0,106.95907916570656,152.0,158.0,--,86
3,00:05:59.141,00:05:59.141,1,--,14,0:05:59  ,0:05:59  ,0:05:14  ,157.484375,170.0,106.08373505691347,164.0,185.0,--,95
4,00:06:37.501,00:06:37.000,1,16,5,0:06:37  ,0:06:37  ,0:05:30  ,153.515625,169.0,98.32420237812187,182.0,189.0,--,121
5,00:08:29.699,00:08:29.699,1,44,--,0:08:29  ,0:08:29  ,0:04:53  ,138.9375,174.0,84.72624991565793,178.0,191.0,--,149
6,00:00:13.010,00:00:12.000,0.02,--,--,0:09:16  ,0:08:33  ,0:09:42  ,125.53125,127.0,85.89474288260264,152.0,156.0,--,2
Summary,00:33:05.706,00:33:03.698,5.02,60,57,0:06:35  ,0:06:34  ,0:04:53  ,153.515625,174.0,98.3494639937123,164.0,191.0,--,532
