Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:03:28.385,00:03:28.000,0.5,3,18,0:06:56  ,0:06:56  ,0:06:39  ,169.375,176.0,84.99737307712039,121.0,136.0,--,40
2,00:03:07.775,00:03:07.775,0.5,--,40,0:06:15  ,0:06:15  ,0:06:10  ,172.046875,176.0,92.86171701761255,130.0,136.0,--,39
3,00:03:15.185,00:03:15.000,0.5,6,--,0:06:30  ,0:06:29  ,0:05:42  ,172.984375,177.0,88.8521506648073,140.0,146.0,--,45
4,00:03:00.721,00:03:00.721,0.5,--,--,0:06:01  ,0:06:01  ,0:05:50  ,174.015625,176.0,95.39473474071566,150.0,154.0,--,45
5,00:03:01.773,00:03:01.000,0.5,--,--,0:06:03  ,0:06:02  ,0:05:47  ,172.78125,176.0,95.52021254380514,147.0,153.0,--,44
6,00:02:54.186,00:02:54.000,0.5,--,--,0:05:48  ,0:05:48  ,0:05:34  ,171.9375,176.0,100.16993437849236,146.0,152.0,--,42
7,00:03:05.744,00:03:05.744,0.5,--,--,0:06:11  ,0:06:11  ,0:05:52  ,170.90625,174.0,94.50363380707792,145.0,148.0,--,43
8,00:03:08.334,00:03:07.000,0.5,6,--,0:06:16  ,0:06:14  ,0:06:05  ,172.984375,176.0,92.08431214920567,149.0,158.0,--,45
9,00:03:07.366,00:03:07.000,0.5,6,7,0:06:14  ,0:06:14  ,0:06:03  ,171.265625,174.0,93.4889477907827,150.0,160.0,--,44
10,00:03:02.202,00:03:02.000,0.5,--,5,0:06:04  ,0:06:04  ,0:05:44  ,170.859375,172.0,96.36721572618363,140.0,145.0,--,40
11,00:03:05.253,00:03:05.253,0.5,--,--,0:06:10  ,0:06:10  ,0:06:12  ,171.140625,174.0,94.62434304415136,143.0,147.0,--,40
12,00:03:20.867,00:03:20.867,0.5,1,--,0:06:41  ,0:06:41  ,0:06:17  ,170.25,174.0,87.72543518316684,144.0,147.0,--,43
13,00:02:59.327,00:02:59.000,0.5,3,--,0:05:58  ,0:05:58  ,0:05:27  ,170.984375,174.0,97.84061105713094,146.0,148.0,--,40
14,00:03:16.432,00:03:16.000,0.5,--,7,0:06:32  ,0:06:32  ,0:06:09  ,168.703125,172.0,90.52861449589692,148.0,156.0,--,44
15,00:01:06.450,00:01:06.450,0.17,--,--,0:06:40  ,0:06:40  ,0:06:09  ,170.4375,172.0,87.81543428391392,154.0,160.0,--,16
16,00:00:06.794,00:00:06.794,0.02,--,--,0:06:49  ,0:06:49  ,0:06:39  ,169.578125,170.0,86.449794914997,160.0,160.0,--,1
Summary,00:45:06.794,00:45:02.604,7.18,25,77,0:06:16  ,0:06:16  ,0:05:27  ,171.375,177.0,92.88309513146031,143.0,160.0,--,611
