Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:09.261,00:06:09.261,1,1,39,0:06:09  ,0:06:09  ,0:04:19  ,172.546875,187.0,94.34000244140626,128.0,137.0,--,72
2,00:06:03.299,00:06:03.000,1,0,7,0:06:03  ,0:06:03  ,0:05:33  ,174.265625,178.0,94.87999877929688,139.0,148.0,--,78
3,00:06:03.378,00:06:03.000,1,0,1,0:06:03  ,0:06:03  ,0:05:43  ,173.625,175.0,95.59000244140626,142.0,150.0,--,80
4,00:01:44.062,00:01:44.000,0.29,1,0,0:05:56  ,0:05:56  ,0:05:49  ,173.859375,176.0,97.60999755859376,145.0,147.0,--,24
5,00:00:30.000,00:00:29.000,0.14,1,0,0:03:40  ,0:03:32  ,0:03:28  ,194.171875,201.0,131.09000244140626,164.0,173.0,--,8
6,00:03:00.000,00:03:00.000,0.43,5,0,0:07:00  ,0:07:00  ,0:03:42  ,170.21875,192.0,88.07000122070313,143.0,173.0,--,37
7,00:00:30.000,00:00:30.000,0.13,3,0,0:03:52  ,0:03:52  ,0:03:36  ,192.46875,200.0,121.40999755859376,160.0,172.0,--,8
8,00:03:00.000,00:03:00.000,0.44,3,1,0:06:51  ,0:06:51  ,0:03:52  ,169.484375,190.0,91.44000244140625,146.0,173.0,--,39
9,00:00:30.000,00:00:30.000,0.15,0,4,0:03:21  ,0:03:21  ,0:03:16  ,194.53125,201.0,130.08000488281252,155.0,170.0,--,7
10,00:03:00.000,00:03:00.000,0.47,0,9,0:06:19  ,0:06:19  ,0:03:16  ,172.0625,194.0,96.55999755859375,143.0,170.0,--,39
11,00:05:00.000,00:05:00.000,0.83,0,1,0:06:02  ,0:06:02  ,0:05:38  ,173.53125,176.0,95.65,144.0,151.0,--,65
12,00:00:30.000,00:00:30.000,0.14,0,0,0:03:31  ,0:03:31  ,0:03:22  ,198.234375,203.0,132.2199951171875,164.0,175.0,--,8
13,00:03:00.000,00:03:00.000,0.44,0,0,0:06:50  ,0:06:50  ,0:03:27  ,170.0625,195.0,88.39000244140625,145.0,177.0,--,37
14,00:00:30.000,00:00:30.000,0.15,0,0,0:03:24  ,0:03:24  ,0:03:11  ,200.140625,207.0,129.55,160.0,177.0,--,7
15,00:03:00.000,00:03:00.000,0.45,0,0,0:06:41  ,0:06:41  ,0:03:24  ,170.109375,197.0,91.22999877929688,150.0,178.0,--,38
16,00:00:30.000,00:00:30.000,0.15,1,0,0:03:19  ,0:03:19  ,0:02:58  ,202.5,209.0,132.20999755859376,163.0,177.0,--,8
17,00:03:00.000,00:03:00.000,0.44,0,0,0:06:49  ,0:06:49  ,0:03:11  ,170.1875,204.0,89.34000244140626,151.0,178.0,--,38
18,00:06:05.787,00:06:05.787,1,8,0,0:06:05  ,0:06:05  ,0:05:43  ,173.375,177.0,93.57999877929689,152.0,163.0,--,83
19,00:03:54.213,00:03:54.000,0.62,30,0,0:06:19  ,0:06:18  ,0:05:47  ,174.859375,179.0,90.89000244140625,168.0,174.0,--,60
20,00:00:01.680,00:00:01.000,0,0,0,0:07:19  ,0:04:21  ,0:06:09  ,107.0,109.0,146.75,170.0,170.0,--,0
Summary,00:56:01.680,00:55:59.048,9.26,54,61,0:06:03  ,0:06:02  ,0:02:58  ,173.78125,209.0,95.2,146.0,178.0,--,735
