Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:46.468,00:05:42.000,0.5,--,38,0:11:33  ,0:11:24  ,0:10:02  ,115.09375,125.0,75.23265720729718,93.0,98.0,--,35
2,00:06:42.752,00:04:28.000,0.37,27,5,0:18:18  ,0:12:11  ,0:10:57  ,75.46875,120.0,72.34302495258777,94.0,102.0,--,47
Summary,00:12:29.220,00:10:10.000,0.87,27,43,0:14:24  ,0:11:43  ,0:10:02  ,93.828125,125.0,73.67930143880437,94.0,102.0,--,82
