Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:19.743,00:05:19.743,1,--,48,0:05:19  ,0:05:19  ,0:04:36  ,163.21875,178.0,114.96883797959629,132.0,159.0,--,65
2,00:05:17.623,00:05:17.623,1,5,--,0:05:17  ,0:05:17  ,0:04:37  ,169.703125,174.0,111.31392246226477,155.0,163.0,--,83
3,00:05:19.090,00:05:19.000,1,9,7,0:05:19  ,0:05:19  ,0:05:06  ,167.21875,170.0,112.4483503815662,152.0,163.0,--,80
4,00:05:15.549,00:05:15.000,1,6,9,0:05:15  ,0:05:15  ,0:05:03  ,168.578125,172.0,112.79327522137916,160.0,168.0,--,84
5,00:05:23.674,00:05:23.674,1,4,--,0:05:23  ,0:05:23  ,0:05:08  ,169.5625,174.0,109.32352066305187,162.0,169.0,--,86
6,00:05:35.377,00:05:35.000,1,9,3,0:05:35  ,0:05:35  ,0:05:11  ,168.15625,170.0,106.39101268346307,158.0,168.0,--,85
7,00:05:20.166,00:05:20.000,1,--,14,0:05:20  ,0:05:20  ,0:05:04  ,167.65625,172.0,111.77799427248092,157.0,164.0,--,80
8,00:05:23.295,00:05:23.295,1,6,2,0:05:23  ,0:05:23  ,0:05:08  ,167.640625,172.0,110.70646236386258,155.0,165.0,--,76
9,00:05:37.171,00:05:37.000,1,7,5,0:05:37  ,0:05:37  ,0:05:15  ,167.765625,172.0,106.07134362172192,155.0,159.0,--,79
10,00:05:27.608,00:05:27.608,1,9,5,0:05:27  ,0:05:27  ,0:05:02  ,168.359375,172.0,108.78260255602964,154.0,161.0,--,75
11,00:05:08.741,00:05:08.000,1,--,6,0:05:08  ,0:05:08  ,0:04:48  ,170.9375,176.0,113.68930187888043,155.0,161.0,--,70
12,00:05:07.203,00:05:07.000,1,6,3,0:05:07  ,0:05:07  ,0:04:35  ,171.9375,176.0,113.59394594395329,156.0,160.0,--,69
13,00:00:12.058,00:00:12.058,0.03,--,--,0:06:59  ,0:06:59  ,0:05:41  ,167.078125,168.0,85.68331505332328,157.0,159.0,--,3
Summary,01:04:27.298,01:04:25.001,12.03,60,103,0:05:21  ,0:05:21  ,0:04:35  ,168.359375,178.0,110.84387147002101,154.0,169.0,--,935
