Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:26.418,00:06:26.418,1,0,35,0:06:26  ,0:06:26  ,0:05:32  ,168.75,175.0,92.29000244140626,127.0,138.0,--,74
2,00:06:24.395,00:06:24.000,1,0,10,0:06:24  ,0:06:24  ,0:06:03  ,169.5625,179.0,91.75,141.0,149.0,--,82
3,00:06:10.661,00:06:10.661,1,1,1,0:06:10  ,0:06:10  ,0:03:52  ,170.078125,194.0,95.09000244140626,152.0,162.0,--,86
4,00:00:58.526,00:00:58.000,0.16,0,1,0:06:05  ,0:06:02  ,0:05:58  ,169.890625,175.0,95.60000000000001,155.0,157.0,--,13
5,00:00:30.000,00:00:29.000,0.13,0,0,0:03:55  ,0:03:47  ,0:04:05  ,190.0625,193.0,117.24000244140626,170.0,177.0,--,8
6,00:03:00.000,00:03:00.000,0.43,2,0,0:07:02  ,0:07:02  ,0:04:04  ,168.5625,191.0,86.40999755859376,155.0,178.0,--,38
7,00:00:30.000,00:00:30.000,0.13,2,0,0:03:50  ,0:03:50  ,0:03:30  ,191.46875,196.0,125.73000488281251,169.0,179.0,--,8
8,00:03:00.000,00:03:00.000,0.46,4,1,0:06:31  ,0:06:31  ,0:03:50  ,170.03125,191.0,94.34000244140626,162.0,179.0,--,42
9,00:00:30.000,00:00:30.000,0.14,0,3,0:03:33  ,0:03:33  ,0:03:43  ,191.0,199.0,120.35000000000001,166.0,177.0,--,8
10,00:03:00.000,00:03:00.000,0.47,0,5,0:06:24  ,0:06:24  ,0:03:43  ,170.484375,191.0,93.92000122070313,157.0,177.0,--,41
11,00:05:00.000,00:05:00.000,0.78,0,2,0:06:24  ,0:06:24  ,0:06:14  ,171.015625,173.0,91.5,154.0,161.0,--,66
12,00:00:30.000,00:00:30.000,0.13,0,0,0:03:49  ,0:03:49  ,0:03:33  ,191.359375,197.0,127.8699951171875,171.0,179.0,--,8
13,00:03:00.000,00:03:00.000,0.46,1,0,0:06:34  ,0:06:34  ,0:03:56  ,168.984375,189.0,95.02000122070314,163.0,180.0,--,41
14,00:00:30.000,00:00:30.000,0.14,0,0,0:03:40  ,0:03:40  ,0:03:34  ,191.796875,195.0,130.29000244140624,171.0,180.0,--,8
15,00:03:00.000,00:03:00.000,0.45,0,0,0:06:37  ,0:06:37  ,0:03:38  ,169.0,192.0,91.12999877929688,163.0,181.0,--,40
16,00:00:30.000,00:00:30.000,0.14,0,0,0:03:37  ,0:03:37  ,0:03:28  ,194.0625,199.0,126.2,170.0,180.0,--,8
17,00:03:00.000,00:03:00.000,0.47,2,0,0:06:24  ,0:06:24  ,0:03:30  ,169.875,195.0,94.65,166.0,181.0,--,42
18,00:06:26.461,00:06:26.461,1,12,2,0:06:26  ,0:06:26  ,0:05:26  ,169.953125,175.0,90.85000000000001,161.0,172.0,--,89
19,00:03:33.539,00:03:33.000,0.52,24,0,0:06:49  ,0:06:48  ,0:06:36  ,169.0625,172.0,87.57999877929689,172.0,178.0,--,54
20,00:00:00.424,00:00:00.424,0,0,0,0:03:42  ,0:03:41  ,0:06:46  ,118.0,118.0,131.6,168.0,168.0,--,0
Summary,00:56:00.424,00:55:57.964,9,48,59,0:06:13  ,0:06:13  ,0:03:28  ,170.8125,199.0,93.89000244140625,154.0,181.0,--,757
