Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:44.541,00:05:44.000,1,99,54,0:05:44  ,0:05:44  ,0:04:18  ,169.0625,176.0,103.00613040373032,135.0,148.0,--,76
2,00:05:48.661,00:05:48.661,1,5,6,0:05:48  ,0:05:48  ,0:05:18  ,173.828125,180.0,98.99831890898541,149.0,158.0,--,90
3,00:05:35.021,00:05:35.000,1,1,--,0:05:35  ,0:05:35  ,0:05:11  ,171.25,177.0,104.58000172789346,155.0,161.0,--,87
4,00:06:01.539,00:06:01.000,1,8,5,0:06:01  ,0:06:01  ,0:05:36  ,169.375,172.0,97.98211009051293,155.0,163.0,--,88
5,00:05:36.920,00:05:36.920,1,5,11,0:05:36  ,0:05:36  ,0:05:38  ,168.5625,172.0,105.6485345314897,158.0,169.0,--,86
6,00:05:39.565,00:05:39.565,1,3,3,0:05:39  ,0:05:39  ,0:05:13  ,169.4375,174.0,104.28426690984602,160.0,164.0,--,89
7,00:05:39.072,00:05:39.000,1,3,--,0:05:39  ,0:05:39  ,0:05:18  ,169.28125,172.0,104.53229291379363,161.0,166.0,--,88
8,00:06:03.559,00:06:03.000,1,--,--,0:06:03  ,0:06:03  ,0:05:29  ,169.078125,174.0,97.60879211436998,159.0,169.0,--,89
9,00:03:51.122,00:03:51.000,0.64,30,--,0:05:59  ,0:05:59  ,0:05:30  ,171.15625,175.0,97.40185172370614,171.0,181.0,--,64
10,00:00:07.002,00:00:07.000,0.01,--,--,0:08:38  ,0:08:38  ,0:05:53  ,164.71875,167.0,70.22954965846085,177.0,177.0,--,2
Summary,00:50:07.002,00:50:05.146,8.66,153,79,0:05:47  ,0:05:47  ,0:04:18  ,170.0625,180.0,101.56558487248826,155.0,181.0,--,759
