Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:15:00.000,00:15:00.000,2.37,9,44,0:06:20  ,0:06:20  ,0:05:32  ,171.53125,176.0,92.35000000000001,141.0,161.0,--,191
2,00:05:00.000,00:05:00.000,1,0,11,0:05:01  ,0:05:01  ,0:04:43  ,177.8125,182.0,111.59000244140626,166.0,173.0,--,77
3,00:02:00.000,00:02:00.000,0.3,0,0,0:06:44  ,0:06:44  ,0:04:50  ,170.640625,179.0,89.87000122070313,158.0,172.0,--,26
4,00:05:00.000,00:05:00.000,1,0,2,0:05:01  ,0:05:01  ,0:04:56  ,178.5625,182.0,110.4,171.0,176.0,--,79
5,00:02:00.000,00:02:00.000,0.31,0,0,0:06:27  ,0:06:27  ,0:04:56  ,171.171875,179.0,94.32999877929689,164.0,176.0,--,28
6,00:05:00.000,00:05:00.000,0.99,10,0,0:05:02  ,0:05:02  ,0:04:52  ,179.546875,183.0,109.8199951171875,176.0,181.0,--,82
7,00:02:00.000,00:02:00.000,0.3,0,5,0:06:34  ,0:06:34  ,0:04:58  ,171.265625,178.0,92.57000122070313,161.0,178.0,--,27
8,00:05:00.000,00:05:00.000,1.01,0,4,0:04:57  ,0:04:57  ,0:04:48  ,180.234375,183.0,110.80000000000001,175.0,182.0,--,80
9,00:02:00.000,00:02:00.000,0.28,0,0,0:07:13  ,0:07:13  ,0:04:52  ,161.484375,181.0,86.24000244140626,166.0,180.0,--,27
10,00:05:00.000,00:05:00.000,1.01,1,2,0:04:56  ,0:04:56  ,0:04:32  ,181.59375,186.0,112.0699951171875,178.0,182.0,--,82
11,00:02:00.000,00:02:00.000,0.25,0,0,0:07:51  ,0:07:51  ,0:05:29  ,149.953125,176.0,93.37000122070313,157.0,180.0,--,26
12,00:05:00.000,00:05:00.000,0.78,30,0,0:06:25  ,0:06:25  ,0:06:03  ,174.796875,178.0,89.5,174.0,182.0,--,76
13,00:00:00.810,00:00:00.810,--,--,--,46:17:46  ,--,--,175.0,175.0,92.5,183.0,183.0,--,--
Summary,00:55:00.810,00:55:00.810,9.59,49,68,0:05:44  ,0:05:44  ,0:04:32  ,174.265625,186.0,100.34000244140626,162.0,182.0,--,801
