Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:58.512,00:05:58.000,1,--,47,0:05:58  ,0:05:58  ,0:05:04  ,164.9375,170.0,101.46777892125091,137.0,159.0,--,78
2,00:05:21.306,00:05:21.000,1,--,3,0:05:21  ,0:05:20  ,0:05:15  ,169.0625,174.0,110.45493600608563,159.0,163.0,--,84
3,00:05:38.977,00:05:38.977,1,--,--,0:05:38  ,0:05:38  ,0:05:15  ,170.453125,176.0,103.84272207427448,160.0,168.0,--,89
4,00:05:29.727,00:05:29.727,1,2,--,0:05:29  ,0:05:29  ,0:05:00  ,171.8125,176.0,105.91122603768585,160.0,164.0,--,87
5,00:05:27.545,00:05:27.545,1,--,--,0:05:27  ,0:05:27  ,0:05:14  ,171.6875,174.0,106.69438920187855,161.0,165.0,--,86
6,00:05:44.108,00:05:42.000,1,--,2,0:05:44  ,0:05:42  ,0:05:19  ,171.203125,176.0,101.84619097479579,161.0,165.0,--,89
7,00:05:29.907,00:05:29.907,1,5,1,0:05:29  ,0:05:29  ,0:05:18  ,171.578125,174.0,105.99802789472696,163.0,169.0,--,87
8,00:03:00.919,00:03:00.919,0.58,--,--,0:05:14  ,0:05:14  ,0:05:09  ,172.890625,176.0,110.36983107834712,163.0,166.0,--,47
Summary,00:42:11.001,00:42:08.075,7.58,7,53,0:05:34  ,0:05:33  ,0:05:00  ,170.25,176.0,105.46030167174072,157.0,169.0,--,647
