Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:02:37.826,00:02:37.826,0.5,7,6,0:05:15  ,0:05:15  ,0:04:42  ,173.484375,178.0,109.56764521603255,140.0,148.0,--,44
2,00:02:33.183,00:02:33.000,0.5,5,6,0:05:06  ,0:05:06  ,0:05:01  ,172.609375,176.0,113.46092185436692,151.0,158.0,--,38
3,00:02:31.896,00:02:31.896,0.5,--,--,0:05:03  ,0:05:03  ,0:05:02  ,174.578125,177.0,113.13190592642286,155.0,158.0,--,38
4,00:02:30.955,00:02:30.955,0.5,4,5,0:05:01  ,0:05:01  ,0:04:46  ,174.796875,177.0,113.69466408230254,157.0,166.0,--,39
5,00:02:43.999,00:02:43.999,0.5,--,--,0:05:27  ,0:05:27  ,0:04:55  ,172.859375,176.0,105.82472173109407,173.0,180.0,--,49
6,00:02:51.054,00:02:50.000,0.5,28,33,0:05:42  ,0:05:40  ,0:05:01  ,170.90625,172.0,102.61954225945411,175.0,182.0,--,47
7,00:02:46.445,00:02:46.445,0.5,4,--,0:05:32  ,0:05:32  ,0:05:06  ,172.15625,174.0,104.69542110425829,175.0,178.0,--,49
8,00:02:32.503,00:02:32.000,0.5,--,--,0:05:04  ,0:05:04  ,0:04:45  ,173.015625,176.0,113.69923029118513,176.0,180.0,--,43
9,00:02:37.620,00:02:37.620,0.5,--,--,0:05:15  ,0:05:15  ,0:05:15  ,172.984375,176.0,110.02796185656723,180.0,182.0,--,47
10,00:02:38.713,00:02:38.713,0.5,--,--,0:05:17  ,0:05:17  ,0:04:47  ,172.515625,176.0,109.56713988185747,179.0,182.0,--,47
11,00:02:37.881,00:02:37.881,0.5,--,--,0:05:15  ,0:05:15  ,0:05:11  ,172.234375,178.0,110.32439686037694,179.0,182.0,--,45
12,00:02:50.083,00:02:50.083,0.5,18,--,0:05:40  ,0:05:40  ,0:05:10  ,170.828125,174.0,103.25259896948072,178.0,185.0,--,50
13,00:03:09.671,00:03:08.000,0.5,31,--,0:06:19  ,0:06:16  ,0:05:58  ,167.9375,172.0,94.18302279982636,184.0,185.0,--,59
14,00:03:28.641,00:03:28.641,0.5,29,--,0:06:57  ,0:06:57  ,0:06:06  ,167.59375,170.0,85.79535330720744,185.0,187.0,--,67
15,00:03:32.480,00:03:31.000,0.5,27,--,0:07:04  ,0:07:02  ,0:06:10  ,167.421875,172.0,84.33172897814612,184.0,185.0,--,64
16,00:03:12.999,00:03:12.999,0.5,27,--,0:06:25  ,0:06:25  ,0:06:22  ,168.234375,172.0,92.39563888473002,183.0,185.0,--,60
17,00:02:57.196,00:02:57.000,0.5,7,--,0:05:54  ,0:05:54  ,0:05:21  ,170.484375,174.0,99.30766283529715,180.0,183.0,--,52
18,00:02:50.975,00:02:50.975,0.5,9,--,0:05:41  ,0:05:41  ,0:05:18  ,170.9375,174.0,102.64818597174983,181.0,184.0,--,51
19,00:02:39.393,00:02:39.000,0.5,--,9,0:05:18  ,0:05:18  ,0:04:57  ,172.21875,176.0,109.28776957247605,181.0,184.0,--,47
20,00:02:58.441,00:02:58.000,0.5,15,7,0:05:56  ,0:05:56  ,0:04:40  ,170.28125,174.0,98.73242197622993,181.0,185.0,--,54
21,00:02:43.084,00:02:43.084,0.5,--,--,0:05:26  ,0:05:26  ,0:05:08  ,172.421875,176.0,106.68848232997179,182.0,184.0,--,50
22,00:02:30.629,00:02:30.629,0.5,--,23,0:05:01  ,0:05:01  ,0:04:29  ,173.1875,180.0,114.99954578819064,179.0,182.0,--,43
23,00:02:37.901,00:02:37.901,0.5,--,31,0:05:15  ,0:05:15  ,0:04:26  ,172.28125,176.0,110.28040628753213,176.0,181.0,--,45
24,00:02:37.307,00:02:36.000,0.5,10,--,0:05:14  ,0:05:12  ,0:05:06  ,173.015625,176.0,110.22696792690519,183.0,185.0,--,48
25,00:02:25.734,00:02:25.734,0.5,--,15,0:04:51  ,0:04:51  ,0:04:34  ,174.203125,178.0,118.1692413248504,181.0,185.0,--,44
26,00:02:38.449,00:02:38.449,0.5,9,6,0:05:16  ,0:05:16  ,0:04:29  ,172.984375,178.0,109.4522922166088,183.0,186.0,--,48
27,00:02:51.621,00:02:51.621,0.5,17,--,0:05:43  ,0:05:43  ,0:05:12  ,171.59375,178.0,101.87071528878178,186.0,189.0,--,54
