Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:29.763,00:06:29.763,1,--,45,0:06:29  ,0:06:29  ,0:05:40  ,157.46875,165.0,97.75888970093901,127.0,158.0,--,73
2,00:05:32.142,00:05:32.000,1,--,2,0:05:32  ,0:05:32  ,0:05:06  ,160.09375,165.0,112.8374020860094,164.0,183.0,--,89
3,00:06:16.346,00:06:16.000,1,5,4,0:06:16  ,0:06:16  ,0:05:10  ,160.953125,165.0,99.05229060209506,177.0,183.0,--,106
4,00:06:26.137,00:06:25.000,1,--,7,0:06:26  ,0:06:25  ,0:05:51  ,162.875,170.0,95.40154564416912,175.0,179.0,--,108
5,00:06:20.583,00:06:20.583,1,12,3,0:06:20  ,0:06:20  ,0:05:42  ,161.8125,165.0,97.42934626320978,175.0,178.0,--,106
6,00:01:28.213,00:01:27.000,0.29,--,2,0:05:04  ,0:05:00  ,0:04:29  ,168.125,177.0,117.30714141513947,183.0,186.0,--,26
Summary,00:32:33.184,00:32:30.346,5.29,17,62,0:06:09  ,0:06:08  ,0:04:29  ,160.984375,177.0,100.9248520383631,164.0,186.0,--,508
