Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:40:00.000,00:40:00.000,6.3,44,53,0:06:20  ,0:06:20  ,0:05:46  ,169.71875,247.0,93.05999755859375,143.0,162.0,--,520
2,00:00:09.759,00:00:09.759,0.03,0,0,0:05:55  ,0:05:55  ,0:06:46  ,169.546875,171.0,87.02999877929688,161.0,162.0,--,3
Summary,00:40:09.759,00:40:09.759,6.33,44,53,0:06:20  ,0:06:20  ,0:05:46  ,169.71875,247.0,93.02999877929688,143.0,162.0,--,523
