Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:02.723,00:06:02.723,1,0,37,0:06:02  ,0:06:02  ,0:04:02  ,171.8125,179.0,96.27674704220965,136.0,148.0,--,79
2,00:06:07.355,00:06:07.000,1,0,8,0:06:07  ,0:06:07  ,0:05:45  ,173.75,178.0,94.00273051401119,150.0,154.0,--,86
3,00:06:06.524,00:06:06.524,1,0,1,0:06:06  ,0:06:06  ,0:05:58  ,172.328125,175.0,94.9932367272352,153.0,158.0,--,86
4,00:06:39.188,00:06:37.000,1,8,0,0:06:39  ,0:06:37  ,0:06:18  ,168.78125,174.0,89.053211659941,149.0,154.0,--,88
5,00:06:31.191,00:06:31.000,1,1,10,0:06:31  ,0:06:31  ,0:06:18  ,170.125,173.0,90.15591948575991,146.0,153.0,--,82
6,00:07:09.664,00:07:09.664,1,34,0,0:07:09  ,0:07:09  ,0:06:14  ,168.390625,174.0,82.92860746709412,152.0,165.0,--,95
7,00:00:24.745,00:00:23.000,0.06,0,0,0:06:55  ,0:06:26  ,0:07:10  ,170.171875,172.0,84.75141345621444,162.0,163.0,--,5
Summary,00:39:01.390,00:38:56.911,6.06,43,57,0:06:26  ,0:06:25  ,0:04:02  ,170.75,179.0,90.8935432791707,148.0,165.0,--,521
