Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:23.571,00:06:18.000,1,18,0,0:06:23  ,0:06:18  ,0:05:26  ,135.328125,175.0,106.7,125.0,154.0,--,88
2,00:06:00.267,00:06:00.000,1,9,10,0:06:00  ,0:06:00  ,0:04:50  ,124.796875,192.0,103.8699951171875,128.0,159.0,--,85
3,00:06:04.838,00:06:04.838,1,23,0,0:06:04  ,0:06:04  ,0:05:30  ,141.5625,189.0,113.19000244140625,136.0,162.0,--,91
4,00:05:52.846,00:05:52.846,1,8,6,0:05:52  ,0:05:52  ,0:05:18  ,124.4375,187.0,107.55000000000001,119.0,156.0,--,87
5,00:05:46.721,00:05:46.721,1,0,11,0:05:46  ,0:05:46  ,0:05:31  ,109.21875,179.0,119.91999511718751,115.0,154.0,--,85
6,00:06:04.619,00:06:04.000,1,12,2,0:06:04  ,0:06:04  ,0:05:40  ,132.71875,183.0,107.29000244140626,127.0,163.0,--,89
7,00:05:57.476,00:05:57.476,1,12,7,0:05:57  ,0:05:57  ,0:05:42  ,140.734375,187.0,103.59000244140626,126.0,162.0,--,86
8,00:05:41.235,00:05:41.000,1,0,27,0:05:41  ,0:05:41  ,0:05:27  ,143.4375,179.0,115.3199951171875,126.0,160.0,--,82
9,00:06:03.498,00:06:03.498,1,10,12,0:06:03  ,0:06:03  ,0:05:34  ,140.71875,176.0,112.1199951171875,125.0,159.0,--,88
10,00:06:04.929,00:06:04.929,0.99,3,16,0:06:09  ,0:06:09  ,0:05:29  ,133.890625,179.0,112.79000244140626,119.0,152.0,--,86
11,00:00:09.507,00:00:08.000,0.03,0,0,0:05:57  ,0:05:00  ,0:06:03  ,169.78125,170.0,93.39000244140625,116.0,125.0,--,2
Summary,01:00:09.507,01:00:01.308,10.02,93,91,0:06:00  ,0:05:59  ,0:04:50  ,132.890625,192.0,109.75,125.0,163.0,--,868
