Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:15.368,00:06:15.368,1,0,27,0:06:15  ,0:06:15  ,0:05:27  ,171.6875,177.0,92.65,134.0,146.0,--,77
2,00:06:10.408,00:06:10.000,1,3,15,0:06:10  ,0:06:10  ,0:05:50  ,172.5625,175.0,93.62999877929688,142.0,153.0,--,80
3,00:02:34.224,00:02:34.000,0.4,4,3,0:06:22  ,0:06:22  ,0:05:53  ,171.796875,174.0,92.24000244140626,147.0,154.0,--,34
4,00:03:00.000,00:02:59.000,0.66,0,7,0:04:34  ,0:04:33  ,0:04:18  ,181.15625,185.0,117.5300048828125,167.0,175.0,--,47
5,00:03:00.000,00:03:00.000,0.45,0,0,0:06:44  ,0:06:44  ,0:04:28  ,170.234375,183.0,92.15999755859376,152.0,175.0,--,39
6,00:03:00.000,00:03:00.000,0.63,11,0,0:04:46  ,0:04:46  ,0:04:34  ,181.078125,185.0,113.85000000000001,172.0,178.0,--,49
7,00:03:00.000,00:03:00.000,0.33,9,0,0:09:10  ,0:09:10  ,0:04:42  ,136.671875,180.0,85.47999877929688,143.0,176.0,--,34
8,00:02:30.976,00:02:30.976,0.38,14,0,0:06:35  ,0:06:35  ,0:06:31  ,171.890625,175.0,88.14000244140625,158.0,169.0,--,36
Summary,00:29:30.976,00:29:29.344,4.84,41,52,0:06:05  ,0:06:05  ,0:04:18  ,170.109375,185.0,96.32000122070313,149.0,178.0,--,396
