Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:20.754,00:06:20.754,1,--,45,0:06:20  ,0:06:20  ,0:05:44  ,160.1875,165.0,98.37350715103912,132.0,149.0,--,77
2,00:06:01.628,00:06:01.000,1,--,4,0:06:01  ,0:06:01  ,0:05:44  ,161.171875,167.0,102.94374269137217,148.0,155.0,--,86
3,00:06:05.142,00:06:05.000,1,2,--,0:06:05  ,0:06:05  ,0:05:27  ,162.6875,167.0,101.0032333905202,154.0,161.0,--,92
4,00:06:05.309,00:06:05.309,1,--,--,0:06:05  ,0:06:05  ,0:05:36  ,164.078125,169.0,100.10141240163088,174.0,187.0,--,102
5,00:06:06.212,00:06:06.000,1,2,1,0:06:06  ,0:06:06  ,0:05:39  ,164.890625,172.0,99.36254540531161,183.0,189.0,--,111
6,00:01:50.253,00:01:50.000,0.3,--,--,0:06:05  ,0:06:04  ,0:04:54  ,155.546875,174.0,105.56103793156852,185.0,192.0,--,33
Summary,00:32:29.298,00:32:28.063,5.3,4,50,0:06:07  ,0:06:07  ,0:04:54  ,162.1875,174.0,100.630120791781,160.0,192.0,--,501
