Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:28.158,00:06:28.000,1,0,36,0:06:28  ,0:06:28  ,0:04:44  ,170.375,177.0,90.7270629189156,129.0,144.0,--,78
2,00:06:33.087,00:06:29.000,1,5,7,0:06:33  ,0:06:29  ,0:05:42  ,167.875,176.0,90.92358210618964,139.0,148.0,--,83
3,00:06:20.140,00:06:20.000,1,5,9,0:06:20  ,0:06:20  ,0:05:44  ,170.328125,174.0,92.66618794672328,147.0,152.0,--,84
4,00:00:38.615,00:00:38.615,0.1,0,0,0:06:21  ,0:06:21  ,0:06:17  ,169.03125,172.0,92.99016656043177,148.0,149.0,--,9
5,00:04:59.564,00:04:59.000,1,0,1,0:04:59  ,0:04:59  ,0:04:47  ,178.6875,184.0,112.09015337867045,165.0,170.0,--,80
6,00:04:00.436,00:04:00.436,0.79,0,0,0:05:03  ,0:05:03  ,0:04:48  ,178.21875,184.0,111.02677305963411,168.0,170.0,--,65
7,00:02:00.000,00:01:59.000,0.3,0,0,0:06:45  ,0:06:42  ,0:04:56  ,170.15625,179.0,86.87015754132231,157.0,170.0,--,27
8,00:04:59.353,00:04:59.353,1,10,5,0:04:59  ,0:04:59  ,0:04:47  ,178.0,188.0,112.60239759053687,169.0,173.0,--,81
9,00:04:00.647,00:04:00.647,0.8,0,5,0:04:59  ,0:04:59  ,0:04:44  ,180.03125,184.0,111.23354475200131,170.0,173.0,--,66
10,00:02:00.000,00:01:59.000,0.29,0,0,0:06:47  ,0:06:44  ,0:05:13  ,168.75,176.0,87.23555953414352,159.0,170.0,--,27
11,00:04:55.779,00:04:55.779,1,2,0,0:04:55  ,0:04:55  ,0:04:49  ,181.03125,186.0,112.05477711501742,170.0,174.0,--,80
12,00:04:04.221,00:04:04.221,0.81,6,0,0:05:00  ,0:05:00  ,0:04:50  ,182.78125,188.0,109.31154481418478,174.0,176.0,--,68
13,00:02:00.000,00:01:59.000,0.24,2,0,0:08:13  ,0:08:09  ,0:05:06  ,148.75,179.0,81.78151363084297,158.0,176.0,--,24
14,00:04:52.162,00:04:52.162,1,1,10,0:04:52  ,0:04:52  ,0:04:29  ,181.8125,188.0,112.95456875370895,169.0,174.0,--,79
15,00:04:07.838,00:04:07.838,0.86,0,0,0:04:47  ,0:04:47  ,0:04:32  ,183.578125,190.0,113.6683264760259,175.0,178.0,--,70
16,00:02:00.000,00:01:59.000,0.22,0,0,0:08:57  ,0:08:53  ,0:04:49  ,144.8125,184.0,77.01683126753345,152.0,175.0,--,22
17,00:06:31.800,00:06:31.800,1,9,1,0:06:31  ,0:06:31  ,0:06:09  ,173.03125,177.0,88.50387521673369,155.0,164.0,--,85
18,00:03:28.200,00:03:28.200,0.5,22,0,0:06:55  ,0:06:55  ,0:06:28  ,173.4375,178.0,83.32279233466993,164.0,168.0,--,51
19,00:00:03.061,00:00:02.000,0.01,0,0,0:06:21  ,0:04:09  ,0:07:05  ,172.0,172.0,91.51135570264543,166.0,166.0,--,1
Summary,01:14:03.061,01:13:53.051,12.94,63,75,0:05:43  ,0:05:42  ,0:04:29  ,174.25,190.0,99.88324735804531,158.0,178.0,--,1079
