Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:36.903,00:06:36.903,1,0,37,0:06:36  ,0:06:36  ,0:05:36  ,167.296875,174.0,90.36058285256142,128.0,139.0,--,78
2,00:06:20.427,00:06:20.000,1,0,10,0:06:20  ,0:06:20  ,0:05:58  ,168.640625,175.0,93.52284560985001,142.0,146.0,--,83
3,00:02:02.670,00:02:02.670,0.32,0,0,0:06:28  ,0:06:28  ,0:05:45  ,167.109375,171.0,92.42361019687941,147.0,151.0,--,28
4,00:00:10.000,00:00:09.000,0.04,0,0,0:03:53  ,0:03:29  ,0:03:01  ,143.890625,209.0,178.76077304640842,150.0,150.0,--,2
5,00:02:30.000,00:02:30.000,0.4,1,0,0:06:17  ,0:06:17  ,0:02:21  ,169.609375,228.0,93.64576376093966,152.0,158.0,--,35
6,00:00:10.000,00:00:10.000,0.05,0,0,0:03:10  ,0:03:10  ,0:02:30  ,178.703125,226.0,176.16927925810964,152.0,152.0,--,2
7,00:02:30.000,00:02:30.000,0.37,0,1,0:06:47  ,0:06:47  ,0:02:26  ,161.734375,228.0,91.1197740556468,147.0,154.0,--,30
8,00:00:10.000,00:00:10.000,0.05,0,0,0:03:29  ,0:03:29  ,0:03:02  ,181.09375,198.0,157.90716084043353,147.0,147.0,--,2
9,00:02:30.000,00:02:30.000,0.34,1,1,0:07:17  ,0:07:17  ,0:02:51  ,164.15625,214.0,83.56672675138016,149.0,161.0,--,31
10,00:05:00.000,00:05:00.000,0.75,8,1,0:06:41  ,0:06:41  ,0:06:17  ,167.296875,171.0,89.23777231017091,153.0,163.0,--,65
11,00:00:10.000,00:00:10.000,0.05,0,0,0:03:19  ,0:03:19  ,0:02:45  ,149.796875,223.0,200.3513108978956,146.0,148.0,--,2
12,00:02:30.000,00:02:30.000,0.39,0,7,0:06:25  ,0:06:25  ,0:02:34  ,169.734375,231.0,91.66558069824174,148.0,158.0,--,31
13,00:00:10.000,00:00:10.000,0.05,0,1,0:03:07  ,0:03:07  ,0:02:20  ,168.796875,169.0,189.7072997301097,148.0,148.0,--,2
14,00:02:30.000,00:02:30.000,0.38,1,1,0:06:39  ,0:06:39  ,0:02:19  ,161.765625,234.0,92.8503815319231,149.0,155.0,--,30
15,00:00:10.000,00:00:10.000,0.05,0,0,0:03:21  ,0:03:21  ,0:02:46  ,186.59375,222.0,159.61949225946242,147.0,148.0,--,2
16,00:02:30.000,00:02:30.000,0.38,1,0,0:06:37  ,0:06:37  ,0:02:08  ,162.375,233.0,92.97490707996536,154.0,162.0,--,33
17,00:05:00.000,00:05:00.000,0.72,33,0,0:06:56  ,0:06:56  ,0:06:24  ,165.984375,173.0,86.79852972324203,164.0,172.0,--,73
18,00:00:17.608,00:00:17.608,0.05,1,0,0:06:06  ,0:06:06  ,0:06:35  ,169.421875,171.0,96.66194304066768,172.0,172.0,--,5
Summary,00:41:17.608,00:41:16.181,6.38,47,60,0:06:28  ,0:06:28  ,0:02:08  ,166.515625,234.0,92.7475789454676,147.0,172.0,--,534
