Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:25.135,00:06:25.135,1,1,39,0:06:25  ,0:06:25  ,0:05:40  ,165.671875,173.0,94.67000122070313,139.0,152.0,--,81
2,00:06:29.649,00:06:29.000,1,6,8,0:06:29  ,0:06:29  ,0:04:36  ,167.921875,199.0,91.75999755859375,148.0,166.0,--,85
3,00:06:25.263,00:06:25.000,1,4,8,0:06:25  ,0:06:25  ,0:03:40  ,167.25,198.0,93.0,152.0,171.0,--,86
4,00:00:39.953,00:00:39.953,0.11,0,0,0:06:19  ,0:06:19  ,0:06:24  ,168.078125,174.0,91.47999877929688,151.0,154.0,--,9
5,00:00:35.000,00:00:34.000,0.16,0,3,0:03:41  ,0:03:35  ,0:03:46  ,192.171875,199.0,117.80000000000001,170.0,178.0,--,9
6,00:03:00.000,00:03:00.000,0.43,2,1,0:06:54  ,0:06:54  ,0:03:51  ,167.078125,196.0,88.17000122070313,157.0,180.0,--,39
7,00:00:25.000,00:00:25.000,0.11,0,0,0:03:38  ,0:03:38  ,0:03:31  ,194.125,197.0,127.0300048828125,169.0,177.0,--,7
8,00:03:00.000,00:03:00.000,0.42,1,1,0:07:04  ,0:07:04  ,0:03:46  ,166.46875,194.0,88.05999755859375,156.0,179.0,--,38
9,00:00:15.000,00:00:15.000,0.07,0,0,0:03:21  ,0:03:21  ,0:03:16  ,201.265625,207.0,114.44000244140625,162.0,171.0,--,4
10,00:05:00.000,00:05:00.000,0.79,0,0,0:06:21  ,0:06:21  ,0:03:21  ,169.203125,203.0,94.50999755859375,160.0,176.0,--,69
11,00:00:35.000,00:00:35.000,0.17,0,0,0:03:28  ,0:03:28  ,0:03:48  ,195.796875,202.0,117.45,174.0,182.0,--,10
12,00:03:00.000,00:03:00.000,0.42,0,1,0:07:04  ,0:07:04  ,0:03:45  ,164.46875,198.0,89.42999877929688,159.0,182.0,--,40
13,00:00:25.000,00:00:25.000,0.12,0,0,0:03:22  ,0:03:22  ,0:03:13  ,198.4375,204.0,126.85000000000001,168.0,177.0,--,7
14,00:03:00.000,00:03:00.000,0.38,1,1,0:07:57  ,0:07:57  ,0:03:13  ,158.625,203.0,83.45999755859376,154.0,179.0,--,37
15,00:00:15.000,00:00:15.000,0.08,0,0,0:03:16  ,0:03:16  ,0:02:48  ,202.0625,212.0,123.24000244140626,159.0,172.0,--,4
16,00:06:32.164,00:06:32.164,1,8,0,0:06:32  ,0:06:32  ,0:02:57  ,168.546875,211.0,91.57000122070313,160.0,179.0,--,88
17,00:03:27.836,00:03:27.836,0.54,27,0,0:06:22  ,0:06:22  ,0:06:08  ,171.25,174.0,92.25,171.0,176.0,--,54
18,00:00:15.545,00:00:15.000,0.04,3,0,0:06:16  ,0:06:03  ,0:06:31  ,171.5625,172.0,88.55999755859375,174.0,175.0,--,4
Summary,00:49:45.545,00:49:43.088,7.85,53,62,0:06:20  ,0:06:20  ,0:02:48  ,168.515625,212.0,92.92999877929688,155.0,182.0,--,672
