Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:13.666,00:06:13.666,1,0,34,0:06:13  ,0:06:13  ,0:05:47  ,168.90625,176.0,94.45999755859376,127.0,136.0,--,73
2,00:06:09.194,00:06:09.000,1,0,8,0:06:09  ,0:06:09  ,0:05:49  ,171.90625,176.0,94.19000244140625,140.0,146.0,--,81
3,00:06:10.689,00:06:10.689,1,0,1,0:06:10  ,0:06:10  ,0:04:34  ,167.171875,176.0,92.82000122070313,147.0,157.0,--,83
4,00:01:26.451,00:01:26.000,0.24,0,1,0:05:57  ,0:05:55  ,0:05:55  ,171.015625,173.0,96.49000244140626,147.0,149.0,--,19
5,00:00:30.000,00:00:29.000,0.13,1,0,0:03:47  ,0:03:39  ,0:03:52  ,185.140625,196.0,120.21999511718751,153.0,156.0,--,8
6,00:02:30.000,00:02:30.000,0.36,2,0,0:06:55  ,0:06:55  ,0:03:53  ,168.484375,196.0,88.39000244140625,149.0,165.0,--,31
7,00:00:30.000,00:00:30.000,0.14,1,0,0:03:36  ,0:03:36  ,0:03:18  ,193.734375,203.0,128.55,139.0,141.0,--,7
8,00:02:30.000,00:02:30.000,0.38,5,0,0:06:39  ,0:06:39  ,0:03:41  ,168.625,193.0,91.10000000000001,150.0,158.0,--,32
9,00:00:30.000,00:00:30.000,0.15,0,2,0:03:24  ,0:03:24  ,0:03:16  ,191.46875,200.0,137.54000244140624,151.0,155.0,--,8
10,00:02:30.000,00:02:30.000,0.39,0,7,0:06:27  ,0:06:27  ,0:03:23  ,169.234375,193.0,101.2,149.0,160.0,--,33
11,00:04:39.098,00:04:39.098,1,0,2,0:04:39  ,0:04:39  ,0:04:13  ,181.4375,188.0,114.60999755859376,167.0,172.0,--,74
12,00:01:20.902,00:01:20.902,0.29,1,0,0:04:38  ,0:04:38  ,0:04:36  ,181.671875,186.0,115.3300048828125,173.0,175.0,--,22
13,00:01:00.000,00:00:59.000,0.14,0,0,0:06:56  ,0:06:49  ,0:04:38  ,168.875,181.0,97.45,169.0,174.0,--,14
14,00:04:38.224,00:04:38.224,1,3,1,0:04:38  ,0:04:38  ,0:04:31  ,181.3125,186.0,116.6199951171875,173.0,178.0,--,76
15,00:01:21.776,00:01:21.776,0.28,5,0,0:04:48  ,0:04:48  ,0:04:36  ,182.0625,186.0,117.0,179.0,180.0,--,23
16,00:01:00.000,00:00:59.000,0.11,2,0,0:09:18  ,0:09:08  ,0:04:48  ,139.875,177.0,81.25,171.0,179.0,--,15
17,00:04:41.687,00:04:41.687,1,0,9,0:04:41  ,0:04:41  ,0:04:38  ,179.75,188.0,115.34000244140626,172.0,175.0,--,75
18,00:01:18.312,00:01:18.000,0.28,0,0,0:04:39  ,0:04:38  ,0:04:39  ,181.6875,184.0,115.75,177.0,178.0,--,21
19,00:01:00.000,00:00:59.000,0.1,0,1,0:10:16  ,0:10:06  ,0:04:41  ,126.8125,183.0,81.34000244140626,169.0,179.0,--,14
20,00:04:41.479,00:04:41.479,1,1,1,0:04:41  ,0:04:41  ,0:04:06  ,181.28125,188.0,114.98000488281251,174.0,179.0,--,76
21,00:01:18.521,00:01:18.000,0.27,0,0,0:04:46  ,0:04:44  ,0:04:39  ,182.328125,187.0,116.15999755859376,178.0,179.0,--,22
22,00:01:00.000,00:00:59.000,0.09,0,0,0:11:21  ,0:11:10  ,0:04:50  ,119.34375,172.0,90.80000000000001,164.0,178.0,--,13
23,00:06:22.417,00:06:21.000,1,7,0,0:06:22  ,0:06:21  ,0:05:55  ,170.953125,176.0,89.05000000000001,154.0,163.0,--,79
24,00:03:37.583,00:03:37.583,0.54,28,0,0:06:45  ,0:06:45  ,0:06:03  ,171.46875,175.0,86.79000244140626,167.0,172.0,--,54
25,00:00:01.874,00:00:01.000,0,0,0,0:06:38  ,0:03:32  ,0:06:28  ,172.0,172.0,89.80000000000001,170.0,170.0,--,0
Summary,01:07:01.873,01:06:53.104,11.89,56,67,0:05:38  ,0:05:37  ,0:03:16  ,172.484375,203.0,101.30000000000001,157.0,180.0,--,953
