Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:00.000,00:04:57.000,0.7,8,--,0:07:06  ,0:07:02  ,0:05:27  ,150.46875,167.0,93.49715245327103,119.0,150.0,--,53
2,00:06:23.241,00:06:23.241,1,6,3,0:06:23  ,0:06:23  ,0:05:26  ,162.0,167.0,96.64163619386412,147.0,174.0,--,90
3,00:06:00.557,00:06:00.000,1,--,24,0:06:00  ,0:06:00  ,0:05:17  ,165.203125,171.0,100.7300506619879,176.0,184.0,--,103
4,00:06:06.401,00:06:06.401,1,7,4,0:06:06  ,0:06:06  ,0:05:36  ,165.0625,170.0,99.20788255916004,179.0,183.0,--,104
5,00:06:24.471,00:06:23.000,1,--,3,0:06:24  ,0:06:23  ,0:05:55  ,165.5,169.0,94.29521511979151,181.0,183.0,--,110
6,00:05:05.330,00:05:05.330,0.51,--,--,0:09:53  ,0:09:53  ,0:07:24  ,125.34375,163.0,80.70035838415157,154.0,183.0,--,57
7,00:07:11.043,00:07:10.000,0.7,14,--,0:10:17  ,0:10:15  ,0:09:21  ,125.03125,130.0,77.71944743127223,150.0,166.0,--,75
Summary,00:42:11.043,00:42:04.972,5.92,35,34,0:07:07  ,0:07:06  ,0:05:17  ,151.34375,171.0,91.72085001274442,159.0,184.0,--,592
