Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:23.005,00:05:20.000,1,--,52,0:05:22  ,0:05:20  ,0:04:50  ,164.078125,176.0,113.21170061491877,143.0,159.0,--,70
2,00:05:05.715,00:05:05.715,1,9,--,0:05:05  ,0:05:05  ,0:04:52  ,171.21875,176.0,114.62601265323478,155.0,168.0,--,83
3,00:05:19.094,00:05:01.000,1,6,11,0:05:19  ,0:05:01  ,0:04:48  ,162.265625,177.0,115.87936144256992,161.0,170.0,--,86
4,00:05:00.896,00:05:00.000,1,6,6,0:05:00  ,0:05:00  ,0:04:46  ,174.671875,180.0,114.1594478094712,166.0,173.0,--,81
5,00:04:58.647,00:04:58.647,1,3,4,0:04:58  ,0:04:58  ,0:04:42  ,173.6875,176.0,115.67100932121681,172.0,176.0,--,83
6,00:05:17.561,00:05:17.000,1,12,5,0:05:17  ,0:05:16  ,0:04:52  ,174.40625,178.0,108.3333165494296,174.0,180.0,--,87
7,00:05:10.141,00:05:10.141,1,4,10,0:05:10  ,0:05:10  ,0:04:58  ,174.109375,176.0,111.1142919807361,170.0,173.0,--,82
8,00:05:04.006,00:05:04.000,1,4,--,0:05:04  ,0:05:04  ,0:04:49  ,174.78125,180.0,112.92087562807316,174.0,179.0,--,83
9,00:01:36.774,00:01:36.000,0.29,--,--,0:05:29  ,0:05:26  ,0:04:46  ,173.9375,176.0,104.78220930220819,175.0,176.0,--,26
Summary,00:42:55.839,00:42:32.503,8.29,44,88,0:05:10  ,0:05:07  ,0:04:42  ,171.171875,180.0,112.90089095982852,165.0,180.0,--,681
