Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:19.808,00:06:19.808,1,0,35,0:06:19  ,0:06:19  ,0:05:40  ,168.546875,174.0,94.07999877929689,128.0,140.0,--,75
2,00:06:13.461,00:06:13.000,1,1,12,0:06:13  ,0:06:13  ,0:05:58  ,169.4375,178.0,95.45,141.0,147.0,--,81
3,00:06:13.500,00:06:13.500,1,0,2,0:06:13  ,0:06:13  ,0:06:04  ,168.65625,172.0,95.34000244140626,147.0,151.0,--,83
4,00:06:20.514,00:06:16.000,1,9,0,0:06:20  ,0:06:16  ,0:05:58  ,168.890625,172.0,93.4,150.0,160.0,--,84
5,00:06:21.583,00:06:21.583,1,1,10,0:06:21  ,0:06:21  ,0:06:05  ,168.703125,172.0,93.60000000000001,150.0,162.0,--,83
6,00:06:17.968,00:06:17.968,1,0,0,0:06:17  ,0:06:17  ,0:06:03  ,168.84375,171.0,93.69000244140625,153.0,158.0,--,84
7,00:06:17.379,00:06:16.000,1,34,0,0:06:17  ,0:06:16  ,0:05:51  ,168.828125,173.0,95.02000122070314,162.0,175.0,--,90
8,00:00:20.142,00:00:19.000,0.06,0,0,0:05:44  ,0:05:25  ,0:06:02  ,170.046875,171.0,99.07000122070313,174.0,176.0,--,5
Summary,00:44:24.355,00:44:16.859,7.06,45,58,0:06:17  ,0:06:16  ,0:05:40  ,168.84375,178.0,94.4,147.0,176.0,--,586
