Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:23.622,00:06:23.000,1,4,51,0:06:23  ,0:06:23  ,0:05:42  ,168.171875,176.0,93.00244548374529,129.0,137.0,--,79
2,00:06:42.942,00:06:37.000,1,10,6,0:06:42  ,0:06:37  ,0:06:18  ,168.578125,176.0,88.32985317676474,139.0,146.0,--,88
3,00:06:08.729,00:06:08.729,1,--,--,0:06:08  ,0:06:08  ,0:05:25  ,169.65625,174.0,95.91225169333015,146.0,149.0,--,89
4,00:06:22.047,00:06:22.000,1,8,4,0:06:22  ,0:06:22  ,0:05:40  ,169.71875,174.0,92.5347030194334,150.0,155.0,--,91
5,00:06:16.132,00:06:16.000,1,6,12,0:06:16  ,0:06:16  ,0:06:05  ,169.15625,172.0,94.30244036953779,147.0,156.0,--,86
6,00:04:24.446,00:04:24.446,0.69,3,--,0:06:21  ,0:06:21  ,0:05:58  ,169.0,172.0,92.9749877336464,147.0,151.0,--,59
7,00:00:15.000,00:00:15.000,0.06,--,--,0:04:13  ,0:04:13  ,0:03:09  ,186.9375,199.0,126.67335502601556,148.0,156.0,--,3
8,00:00:45.000,00:00:45.000,0.12,--,--,0:06:22  ,0:06:22  ,0:03:05  ,158.71875,199.0,98.8835064829855,163.0,169.0,--,11
9,00:00:15.000,00:00:15.000,0.05,--,5,0:04:36  ,0:04:36  ,0:04:21  ,177.265625,198.0,122.46029190998237,153.0,155.0,--,3
10,00:00:45.000,00:00:43.000,0.11,--,--,0:06:46  ,0:06:28  ,0:04:13  ,152.375,200.0,96.91003554826361,166.0,171.0,--,12
11,00:00:15.000,00:00:15.000,0.07,--,--,0:03:45  ,0:03:45  ,0:03:37  ,182.859375,196.0,145.6200967433564,162.0,164.0,--,4
12,00:00:45.000,00:00:45.000,0.11,--,--,0:06:39  ,0:06:39  ,0:03:24  ,168.21875,197.0,89.35983482916899,170.0,174.0,--,12
13,00:00:15.000,00:00:15.000,0.07,3,--,0:03:42  ,0:03:42  ,0:03:35  ,183.140625,197.0,147.4276938827745,167.0,169.0,--,4
14,00:00:45.000,00:00:45.000,0.11,--,--,0:06:45  ,0:06:45  ,0:03:33  ,165.84375,201.0,89.20042465532944,170.0,175.0,--,12
15,00:00:15.000,00:00:15.000,0.06,--,--,0:03:58  ,0:03:58  ,0:03:30  ,183.859375,201.0,137.03952094575934,161.0,165.0,--,3
16,00:00:45.000,00:00:45.000,0.1,--,--,0:07:27  ,0:07:27  ,0:03:30  ,168.3125,205.0,79.72471792223666,170.0,175.0,--,12
17,00:00:15.000,00:00:15.000,0.06,--,--,0:04:12  ,0:04:12  ,0:03:44  ,184.9375,200.0,128.60560802319196,165.0,166.0,--,4
18,00:00:45.000,00:00:45.000,0.12,2,--,0:06:01  ,0:06:01  ,0:03:36  ,167.484375,200.0,99.09780408425848,172.0,176.0,--,12
19,00:06:30.303,00:06:30.000,1,9,6,0:06:30  ,0:06:29  ,0:05:54  ,167.59375,172.0,91.72580508042537,159.0,168.0,--,94
20,00:02:16.389,00:02:16.389,0.34,24,--,0:06:44  ,0:06:43  ,0:06:20  ,168.265625,170.0,88.26827459722207,168.0,174.0,--,38
Summary,00:51:04.610,00:50:55.564,8.08,68,84,0:06:19  ,0:06:18  ,0:03:05  ,168.75,205.0,93.61545741633378,148.0,176.0,--,716
