Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:28.178,00:06:28.178,1,0,37,0:06:28  ,0:06:28  ,0:06:06  ,168.78125,176.0,91.12000122070313,131.0,142.0,--,77
2,00:06:21.389,00:06:21.389,1,0,10,0:06:21  ,0:06:21  ,0:05:55  ,171.46875,176.0,92.15,144.0,150.0,--,83
3,00:06:21.290,00:06:21.000,1,0,1,0:06:21  ,0:06:21  ,0:05:57  ,170.890625,174.0,92.90999755859376,146.0,150.0,--,83
4,00:06:18.276,00:06:18.000,1,8,1,0:06:18  ,0:06:18  ,0:06:12  ,171.140625,174.0,92.95,149.0,157.0,--,85
5,00:06:20.462,00:06:20.462,1,1,11,0:06:20  ,0:06:20  ,0:06:03  ,170.375,173.0,93.00999755859375,142.0,155.0,--,79
6,00:06:18.254,00:06:18.000,1,0,0,0:06:18  ,0:06:18  ,0:06:02  ,170.625,173.0,93.35000000000001,147.0,151.0,--,81
7,00:06:24.388,00:06:24.000,1,35,0,0:06:24  ,0:06:24  ,0:04:30  ,171.40625,179.0,91.77999877929688,163.0,171.0,--,94
8,00:00:27.676,00:00:27.000,0.07,0,0,0:06:40  ,0:06:30  ,0:06:44  ,169.71875,171.0,86.89000244140625,165.0,168.0,--,7
Summary,00:44:59.913,00:44:58.029,7.07,44,60,0:06:21  ,0:06:21  ,0:04:30  ,170.65625,179.0,92.4,146.0,171.0,--,590
