Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:04.700,00:06:04.000,1,--,45,0:06:04  ,0:06:04  ,0:05:40  ,161.5,170.0,101.86921179834674,139.0,151.0,--,80
2,00:05:38.476,00:05:38.476,1,--,4,0:05:38  ,0:05:38  ,0:05:20  ,161.359375,165.0,109.85735803186374,150.0,158.0,--,82
3,00:05:39.821,00:05:39.000,1,2,--,0:05:39  ,0:05:39  ,0:05:18  ,163.71875,167.0,107.84564154311916,158.0,178.0,--,87
4,00:05:47.338,00:05:46.000,1,3,3,0:05:47  ,0:05:46  ,0:05:08  ,165.296875,169.0,104.50433165182187,176.0,180.0,--,100
5,00:05:49.407,00:05:49.000,1,7,7,0:05:49  ,0:05:49  ,0:05:17  ,166.40625,170.0,103.19294316630393,179.0,182.0,--,102
6,00:05:47.721,00:05:47.721,1,7,3,0:05:47  ,0:05:47  ,0:04:34  ,162.515625,174.0,106.17571583890337,175.0,184.0,--,99
7,00:00:10.512,00:00:10.512,0.04,--,--,0:04:10  ,0:04:10  ,0:04:48  ,167.265625,170.0,143.28643882361624,180.0,181.0,--,3
Summary,00:34:57.975,00:34:54.708,6.04,19,63,0:05:47  ,0:05:46  ,0:04:34  ,163.484375,174.0,105.70402878267673,163.0,184.0,--,553
