Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:26.639,00:06:26.639,1,0,39,0:06:26  ,0:06:26  ,0:04:59  ,166.0,175.0,93.48404482147988,133.0,145.0,--,80
2,00:06:33.893,00:06:33.000,1,0,8,0:06:33  ,0:06:33  ,0:05:27  ,166.28125,174.0,91.60721939668467,143.0,149.0,--,83
3,00:06:19.168,00:06:19.000,1,0,0,0:06:19  ,0:06:19  ,0:05:59  ,169.265625,175.0,93.48690975787197,150.0,154.0,--,86
4,00:06:22.622,00:06:22.622,1,9,1,0:06:22  ,0:06:22  ,0:06:04  ,169.0,174.0,92.78859479865238,155.0,161.0,--,86
5,00:06:09.339,00:06:09.000,1,1,11,0:06:09  ,0:06:09  ,0:05:52  ,168.953125,174.0,96.152341586276,154.0,162.0,--,84
6,00:06:22.235,00:06:22.000,1,0,0,0:06:22  ,0:06:22  ,0:06:14  ,171.21875,176.0,91.67892103408538,154.0,157.0,--,86
7,00:06:07.362,00:06:07.362,1,36,0,0:06:07  ,0:06:07  ,0:05:11  ,171.546875,181.0,95.20816812215625,166.0,174.0,--,93
8,00:00:38.742,00:00:38.000,0.08,0,0,0:08:22  ,0:08:12  ,0:06:42  ,140.84375,171.0,84.81153884415968,165.0,169.0,--,8
9,00:00:06.301,00:00:06.000,0.01,1,0,0:14:16  ,0:13:36  ,0:10:30  ,16.28125,114.0,429.87417078311614,159.0,161.0,--,1
Summary,00:45:06.301,00:45:03.623,7.08,47,60,0:06:21  ,0:06:21  ,0:04:59  ,168.078125,181.0,94.11524931168185,151.0,174.0,--,608
