Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:14.615,00:06:14.615,1,3,34,0:06:14  ,0:06:14  ,0:05:47  ,171.375,180.0,92.45999755859376,131.0,141.0,--,76
2,00:06:09.160,00:06:08.000,1,0,11,0:06:09  ,0:06:08  ,0:05:28  ,174.078125,179.0,94.00999755859375,141.0,150.0,--,82
3,00:05:58.938,00:05:58.938,1,3,2,0:05:58  ,0:05:58  ,0:05:45  ,175.09375,179.0,96.27999877929688,147.0,151.0,--,84
4,00:01:37.287,00:01:37.287,0.27,0,1,0:06:02  ,0:06:02  ,0:05:49  ,174.375,176.0,95.7,153.0,157.0,--,23
5,00:00:10.000,00:00:09.000,0.05,0,0,0:03:06  ,0:02:47  ,0:02:07  ,209.21875,225.0,101.72000122070312,162.0,165.0,--,2
6,00:02:30.000,00:02:30.000,0.35,3,1,0:07:03  ,0:07:03  ,0:02:07  ,172.09375,225.0,85.95,155.0,174.0,--,32
7,00:00:10.000,00:00:10.000,0.06,1,0,0:02:59  ,0:02:59  ,0:01:59  ,213.296875,228.0,101.69000244140625,158.0,166.0,--,2
8,00:02:30.000,00:02:30.000,0.36,6,0,0:06:59  ,0:06:59  ,0:01:59  ,171.5,225.0,84.90999755859376,159.0,175.0,--,34
9,00:00:10.000,00:00:10.000,0.06,1,0,0:02:47  ,0:02:47  ,0:02:33  ,215.09375,225.0,107.5300048828125,163.0,169.0,--,2
10,00:02:30.000,00:02:30.000,0.39,0,6,0:06:25  ,0:06:25  ,0:02:27  ,172.234375,225.0,91.72999877929688,156.0,176.0,--,34
11,00:00:10.000,00:00:10.000,0.06,0,0,0:02:43  ,0:02:43  ,0:02:24  ,214.40625,227.0,116.65999755859376,155.0,164.0,--,2
12,00:02:30.000,00:02:30.000,0.39,0,3,0:06:22  ,0:06:22  ,0:02:21  ,171.90625,227.0,94.82999877929689,155.0,174.0,--,34
13,00:00:10.000,00:00:10.000,0.06,0,0,0:02:37  ,0:02:37  ,0:02:08  ,217.59375,228.0,118.8300048828125,157.0,165.0,--,3
14,00:02:30.000,00:02:30.000,0.36,1,1,0:06:52  ,0:06:52  ,0:02:08  ,170.265625,225.0,89.67000122070313,155.0,175.0,--,34
15,00:00:10.000,00:00:10.000,0.06,0,0,0:02:41  ,0:02:41  ,0:02:07  ,215.796875,230.0,113.10999755859376,154.0,162.0,--,2
16,00:02:30.000,00:02:30.000,0.38,0,0,0:06:33  ,0:06:33  ,0:02:09  ,171.328125,227.0,94.12000122070313,158.0,173.0,--,35
17,00:06:27.727,00:06:26.000,1,9,1,0:06:27  ,0:06:26  ,0:05:21  ,171.515625,177.0,90.20999755859376,151.0,158.0,--,86
18,00:03:32.273,00:03:32.000,0.5,27,0,0:07:04  ,0:07:03  ,0:06:20  ,171.390625,175.0,84.72000122070312,162.0,167.0,--,52
19,00:00:26.589,00:00:26.000,0.07,2,1,0:06:01  ,0:05:53  ,0:06:46  ,172.8125,174.0,86.44000244140625,165.0,167.0,--,6
Summary,00:46:26.589,00:46:21.840,7.44,56,63,0:06:14  ,0:06:14  ,0:01:59  ,173.3125,230.0,91.95999755859376,149.0,176.0,--,628
