Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:01:14.477,00:01:14.000,0.19,--,--,0:06:42  ,0:06:39  ,0:06:36  ,148.75,167.0,100.2053255631036,147.0,149.0,--,17
2,00:00:12.936,00:00:12.936,0.06,--,--,0:03:31  ,0:03:31  ,0:02:41  ,188.921875,218.0,149.90834529062346,149.0,153.0,--,2
3,00:02:30.278,00:02:30.000,0.35,--,2,0:07:08  ,0:07:08  ,0:02:41  ,161.4375,218.0,86.65689861339185,157.0,169.0,--,35
4,00:00:12.192,00:00:12.192,0.06,--,--,0:03:21  ,0:03:21  ,0:02:32  ,163.3125,219.0,182.28060107690172,152.0,155.0,--,3
5,00:02:30.337,00:02:30.000,0.35,--,--,0:07:14  ,0:07:13  ,0:02:35  ,163.28125,221.0,84.65481912758682,158.0,170.0,--,37
6,00:00:10.673,00:00:10.673,0.02,--,--,0:07:26  ,0:07:26  ,0:02:40  ,119.359375,222.0,112.70700139746761,154.0,155.0,--,2
7,00:03:26.573,00:03:26.000,0.5,3,--,0:06:53  ,0:06:52  ,0:01:55  ,164.9375,226.0,88.04978393039018,149.0,156.0,--,48
8,00:03:22.453,00:03:21.000,0.5,--,7,0:06:44  ,0:06:42  ,0:06:13  ,160.671875,169.0,92.2268063335051,155.0,162.0,--,49
9,00:02:35.146,00:02:35.000,0.48,23,--,0:05:20  ,0:05:20  ,0:03:52  ,173.25,190.0,107.92794636137756,173.0,180.0,--,44
10,00:00:01.227,00:00:01.000,0.01,9,--,0:02:37  ,0:02:08  ,0:04:03  ,184.0,184.0,207.2924471898538,179.0,179.0,--,0
Summary,00:16:16.292,00:16:12.801,2.52,35,9,0:06:27  ,0:06:26  ,0:01:55  ,163.171875,226.0,94.68080124411995,157.0,180.0,--,237
