Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:30.117,00:06:30.117,1,0,52,0:06:30  ,0:06:30  ,0:05:02  ,169.484375,177.0,90.74583548453833,127.0,141.0,--,79
2,00:06:34.881,00:06:30.000,1,2,1,0:06:34  ,0:06:29  ,0:05:59  ,165.875,180.0,91.60181176298403,140.0,146.0,--,85
3,00:06:26.206,00:06:26.206,1,1,1,0:06:26  ,0:06:26  ,0:06:06  ,171.75,176.0,90.4556076052029,146.0,150.0,--,87
4,00:06:30.607,00:06:30.000,1,9,1,0:06:30  ,0:06:29  ,0:06:08  ,171.15625,176.0,89.74669655730293,149.0,156.0,--,87
5,00:06:27.926,00:06:27.926,1,1,9,0:06:27  ,0:06:27  ,0:06:14  ,170.53125,174.0,90.69814240292986,145.0,154.0,--,82
6,00:06:31.040,00:06:31.000,1,0,1,0:06:31  ,0:06:31  ,0:06:13  ,171.59375,175.0,89.41874933702397,147.0,151.0,--,85
7,00:05:59.223,00:05:57.000,0.93,29,0,0:06:26  ,0:06:23  ,0:04:40  ,168.203125,188.0,92.36569690751774,156.0,180.0,--,85
8,00:00:51.110,00:00:50.000,0.12,6,0,0:06:49  ,0:06:40  ,0:06:42  ,168.75,171.0,86.85405994611872,167.0,172.0,--,13
Summary,00:45:51.110,00:45:42.249,7.06,48,66,0:06:30  ,0:06:28  ,0:04:40  ,169.78125,188.0,90.62995063484783,144.0,180.0,--,603
