Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:03:22.112,00:03:22.112,0.5,2,3,0:06:44  ,0:06:44  ,0:05:05  ,164.9375,172.0,89.99321112958289,117.0,130.0,--,43
2,00:02:43.069,00:02:43.000,0.5,--,47,0:05:26  ,0:05:26  ,0:04:52  ,168.59375,174.0,109.12100958607324,124.0,133.0,--,35
3,00:03:11.250,00:03:11.250,0.5,5,10,0:06:22  ,0:06:22  ,0:06:04  ,171.140625,174.0,91.65722346639743,132.0,139.0,--,40
4,00:03:19.731,00:03:19.731,0.5,3,2,0:06:39  ,0:06:39  ,0:05:52  ,170.640625,172.0,88.02242702042591,135.0,140.0,--,45
5,00:03:17.699,00:03:17.000,0.5,--,--,0:06:35  ,0:06:34  ,0:06:13  ,168.5,172.0,90.05687353478396,133.0,138.0,--,44
6,00:03:02.742,00:03:02.000,0.5,6,3,0:06:05  ,0:06:04  ,0:06:00  ,168.65625,172.0,97.337554493511,138.0,143.0,--,40
7,00:03:02.074,00:03:02.000,0.5,--,6,0:06:04  ,0:06:04  ,0:05:51  ,167.34375,172.0,98.4609025096549,138.0,141.0,--,40
8,00:03:25.103,00:03:25.000,0.5,9,--,0:06:50  ,0:06:50  ,0:06:20  ,166.3125,169.0,87.94767377108708,136.0,141.0,--,41
9,00:03:25.054,00:03:25.000,0.5,6,--,0:06:50  ,0:06:50  ,0:06:08  ,165.328125,167.0,88.49245975146792,141.0,147.0,--,44
10,00:03:03.525,00:03:03.525,0.5,--,11,0:06:07  ,0:06:07  ,0:05:51  ,166.328125,169.0,98.27891305592195,135.0,139.0,--,38
11,00:03:04.719,00:03:04.000,0.5,--,--,0:06:09  ,0:06:08  ,0:05:54  ,167.640625,170.0,96.87917423698902,142.0,147.0,--,42
12,00:03:16.882,00:03:16.000,0.5,--,--,0:06:33  ,0:06:32  ,0:06:02  ,167.34375,170.0,91.05540640473644,141.0,146.0,--,42
13,00:03:17.517,00:03:17.517,0.5,4,5,0:06:35  ,0:06:35  ,0:06:10  ,167.625,170.0,90.61038734613636,141.0,147.0,--,39
14,00:03:06.651,00:03:06.651,0.5,3,6,0:06:13  ,0:06:13  ,0:04:44  ,167.5625,184.0,95.92108886291955,148.0,161.0,--,45
15,00:01:02.598,00:01:02.000,0.16,--,--,0:06:43  ,0:06:39  ,0:06:38  ,167.28125,169.0,88.89867608998564,146.0,151.0,--,13
Summary,00:45:40.726,00:45:36.786,7.16,38,94,0:06:22  ,0:06:22  ,0:04:44  ,167.671875,184.0,93.41365459037887,136.0,161.0,--,591
