Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:17.931,00:06:12.000,1,60,49,0:06:17  ,0:06:12  ,0:05:04  ,166.09375,174.0,95.58405338880684,142.0,159.0,--,82
2,00:06:13.919,00:06:06.000,1,6,8,0:06:13  ,0:06:06  ,0:05:24  ,164.84375,172.0,97.34221488479571,154.0,162.0,--,96
3,00:06:19.997,00:06:19.997,1,--,4,0:06:19  ,0:06:19  ,0:06:13  ,166.703125,169.0,94.71686840569414,147.0,152.0,--,87
4,00:01:08.153,00:01:08.153,0.19,--,--,0:05:59  ,0:05:59  ,0:05:49  ,167.59375,172.0,99.70743371951608,151.0,155.0,--,16
5,00:00:45.000,00:00:45.000,0.19,--,--,0:04:01  ,0:04:01  ,0:04:01  ,180.046875,186.0,137.78633855477452,163.0,166.0,--,12
6,00:00:45.000,00:00:45.000,0.12,--,5,0:06:03  ,0:06:03  ,0:04:03  ,166.59375,181.0,99.06734098511849,172.0,177.0,--,12
7,00:00:45.000,00:00:45.000,0.18,--,--,0:04:15  ,0:04:15  ,0:03:57  ,180.0,185.0,130.31110975477432,162.0,166.0,--,13
8,00:00:45.000,00:00:45.000,0.11,6,--,0:06:42  ,0:06:42  ,0:03:56  ,165.625,183.0,89.93811419025157,169.0,175.0,--,11
9,00:00:45.000,00:00:45.000,0.18,--,--,0:04:13  ,0:04:13  ,0:04:06  ,182.015625,188.0,129.81303607963488,171.0,176.0,--,13
10,00:00:45.000,00:00:45.000,0.12,--,--,0:06:14  ,0:06:14  ,0:04:04  ,165.359375,186.0,96.85571420556553,176.0,180.0,--,12
11,00:00:45.000,00:00:45.000,0.19,--,--,0:03:59  ,0:03:59  ,0:03:50  ,181.484375,186.0,137.97331261658775,173.0,178.0,--,13
12,00:00:45.000,00:00:45.000,0.12,3,--,0:06:24  ,0:06:24  ,0:03:50  ,165.421875,184.0,94.44135742341237,178.0,180.0,--,13
13,00:00:45.000,00:00:45.000,0.2,--,--,0:03:43  ,0:03:43  ,0:03:51  ,181.75,186.0,147.67538050564534,175.0,180.0,--,13
14,00:00:45.000,00:00:45.000,0.11,--,--,0:06:45  ,0:06:45  ,0:03:54  ,164.359375,186.0,89.98168245159552,178.0,182.0,--,13
15,00:00:45.000,00:00:45.000,0.2,--,--,0:03:45  ,0:03:45  ,0:03:36  ,184.90625,192.0,144.05858736831726,176.0,183.0,--,13
16,00:00:45.000,00:00:45.000,0.11,--,3,0:06:32  ,0:06:32  ,0:03:40  ,165.828125,185.0,92.25616210661452,180.0,184.0,--,13
17,00:00:45.000,00:00:45.000,0.19,--,--,0:03:59  ,0:03:59  ,0:03:51  ,180.21875,186.0,138.7942938630715,176.0,181.0,--,13
18,00:00:45.000,00:00:45.000,0.1,--,--,0:07:11  ,0:07:11  ,0:03:51  ,153.328125,186.0,90.69003782185196,179.0,182.0,--,12
19,00:00:45.000,00:00:45.000,0.18,--,--,0:04:09  ,0:04:09  ,0:03:45  ,180.375,186.0,133.47008366539617,176.0,182.0,--,13
20,00:00:45.000,00:00:45.000,0.09,--,--,0:08:42  ,0:08:42  ,0:03:56  ,145.9375,185.0,78.69121804737688,177.0,183.0,--,13
21,00:00:45.000,00:00:45.000,0.21,--,--,0:03:37  ,0:03:37  ,0:03:56  ,182.265625,188.0,151.20057329618518,175.0,182.0,--,13
22,00:00:45.000,00:00:45.000,0.12,--,--,0:06:12  ,0:06:12  ,0:03:55  ,165.0,185.0,97.72121236781881,180.0,183.0,--,13
23,00:00:45.000,00:00:45.000,0.19,--,--,0:03:51  ,0:03:51  ,0:03:41  ,181.984375,188.0,142.53971203242608,178.0,183.0,--,13
24,00:00:45.000,00:00:45.000,0.09,--,6,0:08:33  ,0:08:33  ,0:03:51  ,134.734375,186.0,86.7286707787313,181.0,185.0,--,13
25,00:00:45.000,00:00:45.000,0.2,--,--,0:03:48  ,0:03:48  ,0:03:38  ,184.90625,192.0,142.01070538279535,177.0,185.0,--,13
26,00:00:45.000,00:00:45.000,0.08,6,--,0:09:24  ,0:09:23  ,0:03:37  ,114.15625,189.0,93.20558801555799,181.0,186.0,--,13
27,00:00:45.000,00:00:45.000,0.16,--,--,0:04:37  ,0:04:37  ,0:03:50  ,182.859375,190.0,118.37876773049645,174.0,182.0,--,13
28,00:00:45.000,00:00:45.000,0.09,--,--,0:08:12  ,0:08:12  ,0:04:24  ,134.0,188.0,90.84577418085354,178.0,184.0,--,10
29,00:06:38.708,00:06:37.000,1,9,--,0:06:38  ,0:06:37  ,0:05:51  ,163.546875,174.0,92.01402781766049,163.0,171.0,--,98
30,00:03:21.292,00:03:21.292,0.59,4,6,0:05:42  ,0:05:42  ,0:05:20  ,168.953125,176.0,103.80278541982881,168.0,173.0,--,53
31,00:00:05.524,00:00:05.000,0.01,--,--,0:08:06  ,0:07:20  ,0:06:36  ,168.796875,170.0,73.09900801312558,169.0,169.0,--,1
Summary,00:48:05.524,00:47:49.442,8.31,94,82,0:05:46  ,0:05:45  ,0:03:36  ,166.46875,192.0,103.01232286304982,162.0,186.0,--,736
