Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:02:55.401,00:02:51.000,0.5,--,10,0:05:50  ,0:05:42  ,0:05:31  ,158.984375,169.0,107.58079352295313,133.0,151.0,--,37
2,00:02:37.390,00:02:31.000,0.5,--,41,0:05:14  ,0:05:02  ,0:04:59  ,162.125,174.0,117.56935400524719,148.0,157.0,--,37
3,00:02:33.970,00:02:33.970,0.5,7,--,0:05:07  ,0:05:07  ,0:04:41  ,169.5625,172.0,114.90934004775816,154.0,160.0,--,40
4,00:02:32.523,00:02:32.523,0.5,--,--,0:05:05  ,0:05:05  ,0:04:42  ,171.859375,176.0,114.44918437530912,158.0,165.0,--,42
5,00:02:36.465,00:02:36.465,0.5,6,--,0:05:12  ,0:05:12  ,0:04:46  ,171.375,174.0,111.88106521739236,162.0,167.0,--,45
6,00:02:45.148,00:02:44.000,0.5,13,--,0:05:30  ,0:05:27  ,0:05:22  ,170.09375,174.0,106.79713280202405,160.0,166.0,--,46
7,00:02:38.054,00:02:38.000,0.5,1,--,0:05:16  ,0:05:16  ,0:04:48  ,173.4375,176.0,109.43916132323378,164.0,169.0,--,41
8,00:02:28.254,00:02:28.000,0.5,--,--,0:04:56  ,0:04:56  ,0:04:48  ,174.921875,178.0,115.68331293819874,169.0,172.0,--,42
9,00:02:32.936,00:02:32.936,0.5,--,--,0:05:05  ,0:05:05  ,0:04:52  ,173.21875,176.0,113.24436845440202,172.0,177.0,--,42
10,00:02:31.097,00:02:30.000,0.5,--,1,0:05:02  ,0:05:00  ,0:04:54  ,173.515625,176.0,114.4265552334491,170.0,172.0,--,40
11,00:02:32.502,00:02:32.502,0.5,--,5,0:05:04  ,0:05:05  ,0:04:55  ,173.140625,176.0,113.61789468808463,170.0,171.0,--,43
12,00:02:42.573,00:02:42.573,0.5,3,--,0:05:25  ,0:05:25  ,0:04:54  ,171.40625,174.0,107.65796997558095,169.0,173.0,--,41
13,00:02:49.924,00:02:49.000,0.5,--,--,0:05:39  ,0:05:38  ,0:04:54  ,170.734375,174.0,103.40596053941353,169.0,173.0,--,47
14,00:02:41.055,00:02:41.055,0.5,4,--,0:05:22  ,0:05:22  ,0:05:12  ,171.4375,174.0,108.65287873666409,170.0,173.0,--,42
15,00:02:34.699,00:02:34.000,0.5,--,2,0:05:09  ,0:05:08  ,0:05:12  ,171.21875,174.0,113.2615268267332,168.0,173.0,--,40
16,00:02:44.375,00:02:44.375,0.5,--,4,0:05:28  ,0:05:28  ,0:04:59  ,169.578125,172.0,107.62561840061744,171.0,179.0,--,42
17,00:02:37.766,00:02:37.000,0.5,--,18,0:05:15  ,0:05:14  ,0:04:43  ,170.203125,174.0,111.72240929445645,166.0,173.0,--,41
18,00:02:40.121,00:02:40.000,0.5,4,--,0:05:20  ,0:05:20  ,0:04:59  ,170.71875,174.0,109.74676636680032,168.0,177.0,--,42
19,00:02:39.387,00:02:39.387,0.5,--,--,0:05:18  ,0:05:18  ,0:05:18  ,171.515625,174.0,109.73993183339745,165.0,173.0,--,41
20,00:02:45.648,00:02:44.000,0.5,--,1,0:05:31  ,0:05:27  ,0:05:12  ,170.40625,174.0,106.27951204887769,168.0,174.0,--,45
21,00:01:07.939,00:01:07.939,0.21,--,--,0:05:20  ,0:05:20  ,0:05:02  ,171.171875,172.0,109.28653382093019,165.0,169.0,--,18
Summary,00:54:07.227,00:53:49.725,10.21,37,82,0:05:17  ,0:05:16  ,0:04:41  ,170.390625,178.0,110.72634526765938,164.0,179.0,--,854
