Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:53.829,00:06:53.829,1,0,35,0:06:53  ,0:06:53  ,0:06:04  ,167.84375,176.0,87.32000122070313,128.0,136.0,--,76
2,00:06:37.170,00:06:37.000,1,0,7,0:06:37  ,0:06:37  ,0:06:14  ,169.828125,172.0,89.25999755859375,139.0,146.0,--,83
3,00:06:22.097,00:06:22.000,1,0,1,0:06:22  ,0:06:22  ,0:06:13  ,170.390625,172.0,92.37000122070313,143.0,148.0,--,82
4,00:06:23.988,00:06:23.988,1,9,1,0:06:24  ,0:06:23  ,0:06:08  ,170.90625,173.0,91.95999755859376,146.0,153.0,--,83
5,00:06:12.663,00:06:12.663,1,1,11,0:06:12  ,0:06:12  ,0:05:55  ,170.578125,172.0,94.20999755859376,145.0,152.0,--,79
6,00:06:12.980,00:06:12.980,1,0,0,0:06:12  ,0:06:12  ,0:06:06  ,171.328125,173.0,93.84000244140626,147.0,153.0,--,80
7,00:06:17.273,00:06:17.000,0.92,35,0,0:06:49  ,0:06:49  ,0:06:04  ,169.046875,173.0,87.15999755859376,155.0,165.0,--,86
8,00:00:31.513,00:00:31.000,0.08,2,0,0:06:18  ,0:06:12  ,0:06:26  ,170.65625,172.0,90.77000122070314,164.0,165.0,--,8
Summary,00:45:31.513,00:45:30.460,7,48,55,0:06:30  ,0:06:29  ,0:05:55  ,169.96875,176.0,90.82000122070313,143.0,165.0,--,576
