Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:51.892,00:06:51.892,1,3,57,0:06:51  ,0:06:51  ,0:06:29  ,169.453125,178.0,85.96433598352368,123.0,135.0,--,77
2,00:06:53.358,00:06:53.000,1,9,4,0:06:53  ,0:06:53  ,0:05:10  ,171.1875,174.0,84.79160416982066,134.0,143.0,--,85
3,00:06:33.963,00:06:33.963,1,7,5,0:06:34  ,0:06:33  ,0:05:49  ,168.6875,172.0,90.28443791106933,140.0,144.0,--,86
4,00:07:06.289,00:07:06.000,1,8,7,0:07:06  ,0:07:06  ,0:06:35  ,167.140625,170.0,84.21027795697562,138.0,143.0,--,87
5,00:06:39.530,00:06:39.530,1,5,7,0:06:39  ,0:06:39  ,0:06:16  ,166.65625,170.0,90.11150664689308,137.0,142.0,--,79
6,00:07:03.479,00:07:03.000,1,5,5,0:07:03  ,0:07:03  ,0:06:06  ,165.078125,172.0,85.82816750286382,139.0,148.0,--,84
7,00:04:02.522,00:04:02.522,0.52,22,6,0:07:43  ,0:07:43  ,0:06:52  ,165.78125,170.0,78.09210166422706,143.0,149.0,--,51
Summary,00:45:11.033,00:45:09.907,6.52,59,90,0:06:55  ,0:06:55  ,0:05:10  ,167.8125,178.0,86.02318115678345,136.0,149.0,--,549
