Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:41.389,00:05:41.389,1,101,87,0:05:41  ,0:05:41  ,0:05:17  ,171.609375,180.0,102.41432516622737,148.0,163.0,--,78
2,00:05:42.745,00:05:39.000,1,--,7,0:05:42  ,0:05:39  ,0:05:06  ,170.625,176.0,102.59766201053353,154.0,162.0,--,85
3,00:05:49.668,00:05:49.668,1,7,7,0:05:49  ,0:05:49  ,0:05:27  ,171.953125,176.0,99.78960163048683,153.0,157.0,--,87
4,00:05:45.077,00:05:45.000,1,3,6,0:05:45  ,0:05:45  ,0:05:21  ,171.59375,174.0,101.32900461456727,159.0,163.0,--,88
5,00:05:43.430,00:05:43.000,1,4,3,0:05:43  ,0:05:43  ,0:05:23  ,171.640625,174.0,101.78714719921258,159.0,163.0,--,86
6,00:05:48.500,00:05:48.500,1,6,9,0:05:48  ,0:05:48  ,0:05:31  ,170.28125,172.0,101.10709637533692,155.0,164.0,--,83
7,00:06:07.867,00:06:07.867,1,10,4,0:06:07  ,0:06:07  ,0:05:42  ,168.625,172.0,96.72493619361784,158.0,162.0,--,91
8,00:06:09.478,00:06:09.000,1,--,--,0:06:09  ,0:06:09  ,0:05:54  ,168.65625,172.0,96.28535373582567,158.0,172.0,--,87
9,00:05:57.592,00:05:57.000,1,9,--,0:05:57  ,0:05:57  ,0:05:29  ,167.375,174.0,100.24733899452916,158.0,162.0,--,86
10,00:05:54.427,00:05:52.000,1,6,25,0:05:54  ,0:05:52  ,0:05:17  ,167.796875,176.0,100.8882481443278,150.0,156.0,--,76
11,00:01:19.827,00:01:19.827,0.21,--,--,0:06:19  ,0:06:19  ,0:06:09  ,169.8125,172.0,93.15396552773433,154.0,159.0,--,18
12,00:00:06.448,00:00:05.000,0,--,--,0:33:16  ,0:25:47  ,0:06:50  ,169.328125,172.0,17.750052837570394,160.0,160.0,--,1
Summary,01:00:06.448,00:59:57.251,10.21,145,149,0:05:53  ,0:05:52  ,0:05:06  ,169.984375,180.0,99.95794577790952,155.0,172.0,--,866
