Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:00:10.009,00:00:02.000,0.01,--,--,0:17:07  ,0:03:25  ,0:10:15  ,90.40625,116.0,64.5834230989762,84.0,86.0,--,0
2,00:03:22.474,00:03:22.474,0.5,6,17,0:06:45  ,0:06:44  ,0:05:22  ,162.515625,169.0,91.17103219828012,124.0,135.0,--,41
3,00:03:04.396,00:03:04.000,0.5,--,32,0:06:08  ,0:06:08  ,0:05:49  ,165.671875,172.0,98.20214647676241,130.0,138.0,--,37
4,00:02:39.302,00:02:39.302,0.4,--,--,0:06:37  ,0:06:37  ,0:05:58  ,166.375,172.0,90.80409237977153,137.0,141.0,--,35
5,00:02:57.758,00:02:57.758,0.5,12,8,0:05:55  ,0:05:55  ,0:05:41  ,165.140625,170.0,102.19700918449179,143.0,151.0,--,42
6,00:03:10.783,00:03:10.000,0.5,--,5,0:06:21  ,0:06:20  ,0:05:53  ,165.34375,169.0,95.10290587346739,141.0,144.0,--,42
7,00:02:56.479,00:02:56.479,0.5,4,--,0:05:52  ,0:05:52  ,0:05:16  ,166.09375,170.0,102.34695362724071,145.0,149.0,--,41
8,00:00:21.583,00:00:20.000,0.09,--,--,0:03:54  ,0:03:37  ,0:02:49  ,185.453125,203.0,138.11901902200486,150.0,159.0,--,5
9,00:02:30.460,00:02:30.460,0.37,--,5,0:06:47  ,0:06:47  ,0:03:25  ,163.890625,203.0,89.77498425912037,150.0,161.0,--,34
10,00:00:14.501,00:00:14.000,0.07,--,--,0:03:31  ,0:03:23  ,0:03:07  ,185.21875,203.0,153.35886582648243,152.0,152.0,--,3
11,00:02:30.568,00:02:30.568,0.36,7,--,0:07:01  ,0:07:01  ,0:03:03  ,164.359375,203.0,86.54775918683771,148.0,154.0,--,34
12,00:02:37.586,00:02:37.000,0.38,5,--,0:06:54  ,0:06:52  ,0:06:47  ,164.65625,167.0,87.91592070962322,150.0,154.0,--,34
13,00:00:13.291,00:00:13.291,0.06,--,--,0:03:35  ,0:03:35  ,0:02:37  ,190.859375,212.0,145.9369456281197,155.0,158.0,--,3
14,00:02:30.839,00:02:30.000,0.39,--,--,0:06:29  ,0:06:26  ,0:02:49  ,165.390625,212.0,93.23231883068603,154.0,168.0,--,35
15,00:00:12.253,00:00:12.253,0.07,--,6,0:02:52  ,0:02:52  ,0:05:42  ,159.6875,219.0,217.56561914982166,145.0,145.0,--,2
16,00:02:31.091,00:02:31.000,0.38,--,1,0:06:38  ,0:06:38  ,0:04:46  ,165.765625,221.0,90.87549829041104,149.0,154.0,--,32
17,00:02:30.847,00:02:30.847,0.38,--,--,0:06:39  ,0:06:38  ,0:06:12  ,165.125,169.0,91.07211674636856,150.0,153.0,--,34
18,00:00:15.431,00:00:15.000,0.07,--,--,0:03:46  ,0:03:39  ,0:02:17  ,195.9375,219.0,135.35916517002505,152.0,157.0,--,3
19,00:02:41.340,00:02:41.000,0.41,--,1,0:06:28  ,0:06:28  ,0:02:23  ,164.703125,219.0,93.64246374379255,155.0,167.0,--,37
20,00:00:15.189,00:00:15.189,0.08,--,--,0:03:02  ,0:03:02  ,0:01:41  ,158.9375,229.0,207.0086789688542,150.0,153.0,--,3
21,00:02:33.327,00:02:33.000,0.36,--,--,0:07:04  ,0:07:03  ,0:01:51  ,164.546875,229.0,85.84006658833663,153.0,160.0,--,34
22,00:03:33.929,00:03:33.929,0.5,2,--,0:07:07  ,0:07:07  ,0:06:16  ,164.09375,167.0,85.45934344008337,151.0,157.0,--,47
23,00:03:03.657,00:03:03.000,0.43,10,6,0:07:03  ,0:07:01  ,0:06:31  ,164.734375,167.0,86.03380182507243,165.0,171.0,--,45
Summary,00:46:57.093,00:46:42.550,7.32,47,81,0:06:25  ,0:06:23  ,0:01:41  ,165.078125,229.0,94.20094265878967,146.0,171.0,--,623
