Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:26.475,00:06:26.475,1,0,35,0:06:26  ,0:06:26  ,0:05:38  ,177.015625,188.0,86.77000122070314,132.0,144.0,--,79
2,00:06:25.515,00:06:20.000,1,0,8,0:06:25  ,0:06:20  ,0:05:23  ,172.234375,183.0,91.62999877929688,140.0,151.0,--,84
3,00:06:11.849,00:06:11.849,1,0,1,0:06:11  ,0:06:11  ,0:06:02  ,176.640625,180.0,91.82999877929689,148.0,153.0,--,85
4,00:06:19.926,00:06:19.926,1,7,1,0:06:19  ,0:06:19  ,0:06:04  ,175.3125,177.0,90.57000122070313,151.0,155.0,--,87
5,00:04:36.235,00:04:36.000,0.76,1,7,0:06:04  ,0:06:03  ,0:05:49  ,175.640625,179.0,92.24000244140626,147.0,158.0,--,60
6,00:06:34.843,00:06:34.843,1,19,1,0:06:34  ,0:06:34  ,0:06:02  ,175.71875,178.0,86.52999877929688,149.0,163.0,--,86
7,00:03:25.785,00:03:25.000,0.5,25,0,0:06:52  ,0:06:51  ,0:06:24  ,175.484375,179.0,82.59000244140626,163.0,170.0,--,51
Summary,00:40:00.628,00:39:54.093,6.26,53,54,0:06:23  ,0:06:22  ,0:05:23  ,175.421875,188.0,89.15999755859376,146.0,170.0,--,532
