Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:05:50.327,00:05:50.327,1,0,36,0:05:50  ,0:05:50  ,0:04:11  ,168.765625,173.0,102.0,139.0,147.0,--,75
2,00:05:51.591,00:05:51.591,1,0,9,0:05:51  ,0:05:51  ,0:05:19  ,171.171875,174.0,100.02999877929688,149.0,155.0,--,82
3,00:05:48.076,00:05:48.000,1,1,0,0:05:48  ,0:05:48  ,0:05:15  ,172.171875,175.0,100.45,152.0,159.0,--,83
4,00:05:53.039,00:05:53.000,1,9,1,0:05:52  ,0:05:53  ,0:05:36  ,172.765625,175.0,98.77000122070314,154.0,161.0,--,84
5,00:05:54.193,00:05:54.000,1,0,10,0:05:54  ,0:05:54  ,0:05:45  ,172.09375,174.0,98.45999755859376,150.0,157.0,--,80
6,00:06:01.579,00:06:01.000,1,0,0,0:06:01  ,0:06:01  ,0:05:46  ,172.40625,175.0,97.22999877929688,152.0,156.0,--,83
7,00:05:55.190,00:05:55.190,1,9,0,0:05:55  ,0:05:55  ,0:05:37  ,171.640625,175.0,98.97999877929688,157.0,166.0,--,84
8,00:03:07.245,00:03:06.000,0.51,28,0,0:06:03  ,0:06:01  ,0:05:44  ,172.671875,176.0,96.2,170.0,174.0,--,49
Summary,00:44:21.240,00:44:19.108,7.51,47,55,0:05:54  ,0:05:53  ,0:04:11  ,171.65625,176.0,99.17999877929688,152.0,174.0,--,619
