Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:15.880,00:06:15.880,1,36,34,0:06:15  ,0:06:15  ,0:05:57  ,175.375,184.0,90.15999755859376,127.0,136.0,--,77
2,00:06:06.075,00:06:06.000,1,0,9,0:06:06  ,0:06:06  ,0:05:53  ,175.109375,180.0,93.92999877929688,139.0,142.0,--,84
3,00:05:57.614,00:05:57.614,1,0,1,0:05:57  ,0:05:57  ,0:05:44  ,175.09375,178.0,95.65,142.0,147.0,--,83
4,00:01:40.431,00:01:40.000,0.29,0,0,0:05:52  ,0:05:50  ,0:05:49  ,174.859375,177.0,96.39000244140625,143.0,147.0,--,23
5,00:02:00.000,00:01:59.000,0.41,2,0,0:04:53  ,0:04:50  ,0:04:36  ,182.578125,188.0,109.65999755859376,149.0,154.0,--,31
6,00:02:00.000,00:02:00.000,0.3,4,0,0:06:45  ,0:06:44  ,0:04:56  ,172.8125,186.0,89.95999755859376,149.0,154.0,--,28
7,00:02:00.000,00:02:00.000,0.4,3,1,0:04:58  ,0:04:58  ,0:04:42  ,181.828125,193.0,106.45999755859376,153.0,159.0,--,31
8,00:02:00.000,00:02:00.000,0.32,0,7,0:06:20  ,0:06:20  ,0:05:24  ,172.109375,177.0,91.55999755859375,140.0,153.0,--,25
9,00:02:00.000,00:02:00.000,0.42,0,2,0:04:48  ,0:04:48  ,0:04:36  ,182.59375,189.0,112.2,154.0,161.0,--,32
10,00:02:00.000,00:02:00.000,0.31,0,0,0:06:30  ,0:06:30  ,0:05:09  ,172.78125,179.0,88.97000122070312,147.0,158.0,--,27
11,00:02:00.000,00:02:00.000,0.41,0,1,0:04:50  ,0:04:50  ,0:04:41  ,183.015625,190.0,108.34000244140626,139.0,160.0,--,29
12,00:02:00.000,00:02:00.000,0.32,1,0,0:06:17  ,0:06:17  ,0:05:04  ,174.15625,182.0,93.12000122070313,153.0,160.0,--,29
13,00:02:00.000,00:02:00.000,0.41,0,0,0:04:50  ,0:04:50  ,0:04:29  ,182.25,187.0,110.8199951171875,157.0,162.0,--,32
14,00:02:00.000,00:02:00.000,0.32,0,0,0:06:11  ,0:06:11  ,0:04:55  ,174.171875,181.0,94.85999755859376,152.0,162.0,--,29
15,00:02:00.000,00:02:00.000,0.41,0,0,0:04:50  ,0:04:50  ,0:04:52  ,182.421875,189.0,105.25999755859375,158.0,162.0,--,31
16,00:02:00.000,00:02:00.000,0.32,0,0,0:06:10  ,0:06:10  ,0:04:50  ,174.546875,187.0,96.30999755859375,152.0,162.0,--,28
17,00:06:08.367,00:06:08.367,1,16,0,0:06:08  ,0:06:08  ,0:05:41  ,174.328125,177.0,93.62000122070313,152.0,159.0,--,87
18,00:03:51.633,00:03:51.000,0.6,27,0,0:06:27  ,0:06:26  ,0:06:14  ,173.625,177.0,88.45,162.0,164.0,--,59
19,00:01:00.400,00:01:00.000,0.17,1,0,0:05:52  ,0:05:50  ,0:05:57  ,174.671875,176.0,93.15999755859376,163.0,165.0,--,15
Summary,00:55:00.400,00:54:57.861,9.41,91,55,0:05:50  ,0:05:50  ,0:04:29  ,176.15625,193.0,96.24000244140626,147.0,165.0,--,781
