Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:07:30.709,00:07:30.709,1,2,13,0:07:30  ,0:07:30  ,0:06:21  ,165.34375,169.0,80.65999755859376,130.0,138.0,--,77
2,00:07:25.012,00:07:25.000,1,3,3,0:07:25  ,0:07:24  ,0:06:58  ,167.390625,170.0,80.67999877929688,135.0,139.0,--,80
3,00:07:12.545,00:07:12.545,1,3,2,0:07:12  ,0:07:12  ,0:06:53  ,168.421875,171.0,82.12999877929688,134.0,141.0,--,80
4,00:06:53.186,00:06:53.000,1,1,3,0:06:53  ,0:06:53  ,0:06:31  ,168.3125,173.0,87.15999755859376,139.0,146.0,--,83
5,00:00:58.548,00:00:58.548,0.15,0,0,0:06:29  ,0:06:29  ,0:06:24  ,168.53125,171.0,86.67000122070313,139.0,141.0,--,12
6,00:00:40.339,00:00:39.000,0.11,1,0,0:06:04  ,0:05:52  ,0:06:00  ,170.40625,173.0,93.47000122070312,143.0,150.0,--,9
Summary,00:30:40.339,00:30:38.802,4.26,10,22,0:07:11  ,0:07:11  ,0:06:00  ,167.4375,173.0,82.94000244140625,135.0,150.0,--,340
