Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:12.729,00:06:12.729,1,0,50,0:06:12  ,0:06:12  ,0:05:45  ,169.390625,178.0,94.82000122070313,131.0,144.0,--,74
2,00:06:15.401,00:06:15.401,1,0,8,0:06:15  ,0:06:15  ,0:05:58  ,171.015625,181.0,94.02999877929688,146.0,150.0,--,83
3,00:06:06.068,00:06:06.000,1,0,0,0:06:06  ,0:06:06  ,0:05:50  ,171.40625,174.0,96.07999877929689,152.0,159.0,--,84
4,00:01:25.802,00:01:25.000,0.23,0,0,0:06:07  ,0:06:04  ,0:06:09  ,171.203125,173.0,93.87999877929688,154.0,160.0,--,19
5,00:00:35.000,00:00:34.000,0.15,0,0,0:03:58  ,0:03:51  ,0:03:55  ,188.203125,194.0,115.85000000000001,168.0,176.0,--,9
6,00:03:00.000,00:03:00.000,0.47,5,0,0:06:24  ,0:06:24  ,0:03:55  ,170.5,194.0,94.25999755859375,161.0,177.0,--,42
7,00:00:25.000,00:00:25.000,0.11,1,0,0:03:40  ,0:03:40  ,0:03:15  ,195.4375,203.0,123.96999511718751,168.0,179.0,--,7
8,00:03:00.000,00:03:00.000,0.47,2,5,0:06:24  ,0:06:24  ,0:03:34  ,170.90625,194.0,92.79000244140626,158.0,180.0,--,40
9,00:00:15.000,00:00:15.000,0.07,0,2,0:03:37  ,0:03:37  ,0:03:13  ,192.53125,201.0,116.20999755859376,153.0,164.0,--,3
10,00:05:00.000,00:05:00.000,0.78,0,4,0:06:22  ,0:06:22  ,0:03:30  ,170.984375,193.0,93.72999877929688,154.0,169.0,--,67
11,00:00:35.000,00:00:35.000,0.16,0,0,0:03:37  ,0:03:37  ,0:03:27  ,195.03125,202.0,128.3,172.0,182.0,--,10
12,00:03:00.000,00:03:00.000,0.49,0,0,0:06:10  ,0:06:10  ,0:03:34  ,172.234375,193.0,99.85999755859376,166.0,182.0,--,43
13,00:00:25.000,00:00:25.000,0.11,0,0,0:03:41  ,0:03:41  ,0:03:22  ,193.3125,198.0,126.34000244140626,171.0,179.0,--,7
14,00:03:00.000,00:03:00.000,0.47,0,0,0:06:19  ,0:06:19  ,0:03:35  ,171.296875,191.0,94.40999755859376,164.0,181.0,--,42
15,00:00:15.000,00:00:15.000,0.07,0,0,0:03:30  ,0:03:30  ,0:03:20  ,195.59375,204.0,112.73000488281251,167.0,174.0,--,4
16,00:06:10.413,00:06:10.000,1,7,0,0:06:10  ,0:06:10  ,0:03:21  ,172.34375,202.0,94.27999877929688,164.0,181.0,--,89
17,00:03:49.587,00:03:49.587,0.6,27,0,0:06:22  ,0:06:22  ,0:05:58  ,172.90625,176.0,91.17999877929688,171.0,178.0,--,59
18,00:00:14.123,00:00:13.000,0.04,1,0,0:05:59  ,0:05:31  ,0:06:16  ,173.078125,174.0,94.29000244140626,177.0,178.0,--,4
Summary,00:49:44.123,00:49:40.717,8.23,43,69,0:06:02  ,0:06:02  ,0:03:13  ,172.34375,204.0,95.85000000000001,155.0,182.0,--,687
