Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:09.879,00:06:09.879,1,12,35,0:06:09  ,0:06:09  ,0:05:34  ,168.515625,178.0,96.17999877929688,137.0,144.0,--,79
2,00:06:14.258,00:06:14.000,1,0,7,0:06:14  ,0:06:14  ,0:05:39  ,170.25,174.0,93.97000122070312,143.0,151.0,--,80
3,00:02:35.863,00:02:35.863,0.42,0,0,0:06:08  ,0:06:08  ,0:05:55  ,172.296875,175.0,96.15999755859376,150.0,156.0,--,36
4,00:05:00.000,00:04:59.000,0.99,1,1,0:05:02  ,0:05:01  ,0:04:43  ,177.5,183.0,112.5,165.0,169.0,--,78
5,00:02:00.000,00:02:00.000,0.32,2,0,0:06:19  ,0:06:19  ,0:05:04  ,171.90625,177.0,94.37999877929688,159.0,167.0,--,28
6,00:04:56.415,00:04:56.415,1,6,8,0:04:56  ,0:04:56  ,0:04:50  ,178.75,184.0,112.0,168.0,171.0,--,78
7,00:00:03.585,00:00:03.000,0.01,0,0,0:04:59  ,0:04:10  ,0:04:54  ,177.671875,178.0,111.7,168.0,168.0,--,1
8,00:02:00.000,00:01:59.000,0.33,0,2,0:06:08  ,0:06:05  ,0:04:55  ,171.75,176.0,97.27999877929688,160.0,168.0,--,28
9,00:04:43.825,00:04:43.825,1,1,0,0:04:43  ,0:04:43  ,0:04:30  ,180.28125,185.0,116.3300048828125,175.0,179.0,--,78
10,00:00:16.175,00:00:16.000,0.05,0,0,0:04:54  ,0:04:51  ,0:04:52  ,177.875,181.0,116.16999511718751,176.0,178.0,--,4
11,00:02:00.000,00:01:59.000,0.33,0,0,0:06:02  ,0:05:59  ,0:04:52  ,171.40625,179.0,99.70999755859376,169.0,175.0,--,29
12,00:04:37.286,00:04:37.286,1,9,1,0:04:37  ,0:04:37  ,0:04:15  ,181.546875,187.0,117.15999755859376,180.0,183.0,--,79
13,00:00:22.714,00:00:22.714,0.07,1,0,0:05:09  ,0:05:09  ,0:04:48  ,177.90625,181.0,116.15999755859376,182.0,183.0,--,7
14,00:02:00.000,00:01:59.000,0.28,0,2,0:07:07  ,0:07:04  ,0:05:04  ,158.046875,173.0,91.37000122070313,165.0,181.0,--,27
15,00:04:14.553,00:04:14.553,0.69,0,9,0:06:09  ,0:06:09  ,0:05:57  ,171.125,174.0,94.39000244140625,157.0,168.0,--,56
Summary,00:47:14.553,00:47:09.535,8.5,32,65,0:05:33  ,0:05:33  ,0:04:15  ,173.765625,187.0,103.40999755859376,159.0,183.0,--,688
