Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:03:40.329,00:03:37.000,0.5,--,15,0:07:20  ,0:07:14  ,0:06:12  ,164.03125,170.0,83.0085843360576,113.0,131.0,--,33
2,00:03:04.292,00:03:04.292,0.5,--,34,0:06:08  ,0:06:08  ,0:05:44  ,170.328125,178.0,95.5714969184128,131.0,140.0,--,40
3,00:03:22.386,00:03:22.386,0.5,4,--,0:06:44  ,0:06:44  ,0:06:12  ,169.609375,174.0,87.39587412838391,135.0,140.0,--,43
4,00:03:14.440,00:03:13.000,0.5,--,1,0:06:28  ,0:06:26  ,0:06:06  ,169.015625,172.0,91.28696767512776,138.0,147.0,--,41
5,00:03:07.962,00:03:07.962,0.5,--,--,0:06:15  ,0:06:15  ,0:06:08  ,169.5625,172.0,94.12855097769571,143.0,146.0,--,42
6,00:03:03.623,00:03:03.623,0.5,--,--,0:06:07  ,0:06:07  ,0:05:53  ,168.765625,172.0,96.80776228080519,138.0,143.0,--,41
7,00:03:17.646,00:03:17.646,0.5,8,3,0:06:35  ,0:06:35  ,0:06:02  ,166.65625,170.0,91.07761060729189,139.0,143.0,--,45
8,00:03:24.778,00:03:24.778,0.5,--,--,0:06:49  ,0:06:49  ,0:06:35  ,167.609375,170.0,87.40567907020895,143.0,148.0,--,45
9,00:03:13.820,00:03:13.000,0.5,6,7,0:06:27  ,0:06:26  ,0:06:14  ,166.703125,170.0,92.84935858575348,138.0,147.0,--,39
10,00:03:15.503,00:03:15.503,0.5,--,5,0:06:30  ,0:06:31  ,0:06:08  ,165.75,169.0,92.57938219645584,134.0,140.0,--,40
11,00:03:15.655,00:03:15.000,0.5,4,--,0:06:31  ,0:06:29  ,0:06:20  ,165.953125,170.0,92.39423452083338,142.0,145.0,--,43
12,00:03:26.139,00:03:26.139,0.5,--,3,0:06:52  ,0:06:52  ,0:06:35  ,165.703125,169.0,87.82747051702125,141.0,145.0,--,42
13,00:03:19.455,00:03:19.000,0.5,1,--,0:06:38  ,0:06:37  ,0:06:05  ,165.4375,170.0,90.9164279600826,141.0,146.0,--,42
14,00:02:13.972,00:02:13.972,0.31,--,5,0:07:19  ,0:07:19  ,0:06:42  ,164.15625,167.0,83.22170155506281,146.0,152.0,--,28
15,00:01:05.348,00:01:05.000,0.14,7,--,0:07:33  ,0:07:30  ,0:07:28  ,165.15625,167.0,80.16581104350935,152.0,157.0,--,14
Summary,00:46:05.348,00:45:58.301,6.95,30,75,0:06:37  ,0:06:36  ,0:05:44  ,167.0625,178.0,90.22657115440595,137.0,157.0,--,578
