Intervalle,Heure,Temps de déplacement,Distance,Gain d'altitude,Perte d'altitude,Allure moyenne,Allure moyenne en déplacement,Meilleure allure,Cadence de course moyenne,Cadence de course maximale,Longueur moyenne des foulées,Fréquence cardiaque moy.,Fréquence cardiaque maximale,Température moyenne,Calories
1,00:06:28.062,00:06:28.000,1,2,--,0:06:28  ,0:06:28  ,0:04:35  ,151.453125,170.0,102.08733834506442,171.0,187.0,--,110
2,00:04:28.911,00:04:23.000,0.56,10,6,0:08:02  ,0:07:51  ,0:05:42  ,133.609375,167.0,93.06346379494478,169.0,193.0,--,75
3,00:00:02.300,00:00:02.000,0,--,--,0:25:12  ,0:21:55  ,0:10:57  ,109.0,109.0,36.37814150233499,138.0,138.0,--,0
4,00:00:11.094,00:00:00.000,0,--,--,1:58:12  ,--,0:10:37  ,9.90625,109.0,85.71433838458478,137.0,138.0,--,2
5,00:00:01.671,00:00:00.000,--,--,--,--,--,--,0.0,0.0,--,135.0,135.0,--,0
6,00:00:05.271,00:00:00.000,--,--,--,--,--,--,0.0,0.0,--,135.0,136.0,--,1
Summary,00:11:17.309,00:10:53.000,1.56,13,6,0:07:14  ,0:06:58  ,0:04:35  ,141.859375,170.0,97.9710970275348,169.0,193.0,--,188
